GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
8510         1    1557060    1571530     22       6  161405        2.563    0.0051883
984          1    1569600    1600473     29       5  161405       1.7725     0.038159
728661       1    1589986    1634243     61      12  161405       1.4165     0.078312
728642       1    1632322    1665999     56       6  161405       1.8407     0.032831
9906         1    1654777    1687438     47       8  161405      0.56471      0.28613
65220        1    1681171    1721508     81      11  161405       1.6055     0.054194
2782         1    1715225    1832552    153      19  161405       2.4485    0.0071723
163688       1    1836266    1850233     34       6  161405       2.6657    0.0038418
339456       1    1847529    1860740     52       6  161405       1.7265     0.042129
85452        1    1851890    1945276    342      27  161405       3.1271   0.00088269
2563         1    1940768    1963692     57       8  161405       1.3605     0.086832
5590         1    1971909    2118334    406      31  161405       2.9886    0.0014011
100506504    1    2111750    2125812     22       6  161405       3.1013   0.00096348
199990       1    2114399    2154159     68      15  161405       3.3747    0.0003695
6497         1    2150134    2243152    240      41  161405       1.9665     0.024619
79906        1    2250219    2333190    328      41  161405      0.73981      0.22971
11079        1    2313214    2338383     69      18  161405       0.8582      0.19539
5192         1    2334741    2354010     65      18  161405       1.0807      0.13993
9651         1    2397754    2438464     96      22  161405       4.3282   7.5159e-06
55229        1    2438475    2468061     76      11  161405       1.7394     0.040984
388585       1    2458684    2471684     38       9  161405      0.84268       0.1997
8764         1    2477291    2496768     39       7  161405      0.76698      0.22155
127281       1    2507899    2524408     43       8  161405       1.9365     0.026401
79258        1    2520578    2574499    174      11  161405       2.4028    0.0081351
100287898    1    2571307    2716230     98      11  161405       1.5813     0.056901
140625       1    2928046    2940967     28       4  161405      0.51075      0.30476
63976        1    2975565    3356685   1391     156  161405       3.4961   0.00023607
27237        1    3361147    3399177    136      15  161405      -0.3222      0.62635
1953         1    3403006    3538059    552      72  161405       0.2254      0.41083
127262       1    3531556    3548195     70      11  161405       1.9303     0.026782
49856        1    3545831    3576671     68      15  161405       1.6937     0.045164
7161         1    3559129    3654265    313      54  161405     -0.74521      0.77193
148870       1    3658965    3689709     95      16  161405    -0.091889      0.53661
388588       1    3679352    3694046     64      16  161405       1.0124      0.15567
57470        1    3695284    3723068    141      20  161405       1.1528      0.12449
9731         1    3727145    3783797    344      19  161405       1.3433     0.089581
1677         1    3763845    3803493    255      25  161405      0.51969      0.30164
339448       1    3804197    3826857     82      11  161405        2.514    0.0059681
55966        1    4705105    4845351    670      80  161405       1.1226       0.1308
261734       1    5921370    6062618    427      21  161405      0.94498      0.17233
8514         1    6042358    6162753    339      47  161405       1.1825       0.1185
26038        1    6160347    6250194    289      29  161405     0.087449      0.46516
6146         1    6243580    6269679     61      12  161405      0.78142      0.21728
388591       1    6256189    6282859     65      11  161405      0.57285      0.28337
23463        1    6279753    6306044     51       9  161405     -0.17881      0.57096
390992       1    6294252    6307138     23       7  161405      0.67757      0.24902
387509       1    6305906    6331035     62       8  161405       -0.127      0.55053
11332        1    6322832    6463826    457      26  161405     0.087241      0.46524
54626        1    6473792    6494724     73       8  161405      0.45382      0.32498
83715        1    6474836    6522504    133      13  161405      0.91106      0.18113
8718         1    6519287    6537432     45       9  161405       2.6771     0.003713
57449        1    6524652    6590121    162      24  161405       2.4054    0.0080773
79707        1    6579907    6624658    122       4  161405      0.74583      0.22788
80835        1    6604987    6641317     92       8  161405       1.3396     0.090189
3104         1    6630051    6650840     32      11  161405       3.1836   0.00072722
9903         1    6649284    6672958     44      10  161405       4.3127   8.0633e-06
148479       1    6663756    6685593     31       6  161405       3.8904   5.0043e-05
90326        1    6674925    6697146     51       8  161405       4.7854   8.5328e-07
55735        1    6692728    6771966    166      17  161405       5.0368   2.3664e-07
23261        1    6835384    7831266   2671     204  161405       1.8008     0.035865
9341         1    7821329    7842992     55      12  161405       1.3674     0.085754
8863         1    7834413    7906741    251      29  161405       1.1052      0.13455
10911        1    7906172    7923551     82      16  161405      0.18282      0.42747
3604         1    7974431    8013225     72      10  161405      0.17939      0.42882
11315        1    8011714    8046842     64       9  161405     -0.10091      0.54019
54206        1    8070279    8096393     34       5  161405    -0.067597      0.52695
50651        1    8368171    8405727    107      15  161405       5.5263   1.6357e-08
473          1    8410964    8887699    684      25  161405       5.1091   1.6184e-07
2023         1    8919559    8949151     44       7  161405       1.8641     0.031152
765          1    8995893    9036651    160      35  161405      0.35556      0.36108
155184       1    9061859    9096404    123      24  161405      0.19916      0.42107
6518         1    9095505    9141763    137      19  161405     -0.79259      0.78599
80045        1    9161972    9199229     72      10  161405       1.5432     0.061389
9563         1    9284822    9332896    137      20  161405    -0.022724      0.50906
80176        1    9325202    9431091    464      65  161405      0.85788      0.19548
84275        1    9589528    9644331     69       8  161405     -0.18643      0.57395
199953       1    9638932    9676435     46       7  161405     -0.54847      0.70831
5293         1    9701789    9790672    158      27  161405      0.92545      0.17737
22883        1    9787579    9894550    146      14  161405       0.6055      0.27242
56998        1    9906834    9980316     76      12  161405      -1.4649      0.92852
84328        1    9980668   10013460     66      10  161405     -0.91438      0.81974
64802        1    9993486   10047056     93      13  161405     -0.27049      0.60661
116362       1   10047255   10077578     58       7  161405      0.47627      0.31694
10277        1   10083041   10242797    301      18  161405      0.32556      0.37238
23095        1   10260606   10443164    574      16  161405       1.8792     0.030106
5226         1   10448884   10482065     84      10  161405       1.8605     0.031405
378708       1   10479944   10511739     87      11  161405      0.41532      0.33895
100526739    1   10480159   10513560     90      10  161405      0.39603      0.34604
1325         1   10499776   10513560     26       5  161405      -0.1858       0.5737
1676         1   10519088   10542613     28       5  161405      0.37464      0.35396
5195         1   10525003   10692315    366      28  161405     -0.38746      0.65079
54897        1   10695161   10866733    459      86  161405    -0.038362       0.5153
148345       1   11005030   11052094    167      21  161405   -0.0065393      0.50261
23435        1   11062462   11087049     50       7  161405       2.7358    0.0031112
10747        1   11085080   11117296     70       9  161405       1.5826     0.056754
6723         1   11113149   11130091     38       4  161405     -0.18617      0.57385
5394         1   11125175   11169961    128       6  161405    -0.066674      0.52658
2475         1   11165088   11332614    352      10  161405      0.23294      0.40791
10218        1   11239346   11257538     32       4  161405      0.55805      0.28841
29914        1   11323255   11349991     47       8  161405     -0.45019      0.67371
57540        1   11529295   11599140    176      16  161405       2.3543    0.0092797
93611        1   11704432   11724884     58      19  161405      0.54726       0.2921
26232        1   11706424   11724888     52      17  161405      0.59777        0.275
26270        1   11714150   11735911     63      14  161405      0.14512      0.44231
10459        1   11733037   11761678     96      21  161405     -0.45936      0.67701
374946       1   11741781   11781836    117      24  161405       1.0586      0.14489
57085        1   11786142   11812328     72      14  161405       1.0153      0.15498
284498       1   11813827   11851142    170      15  161405       1.1876       0.1175
4524         1   11844287   11876160    147      12  161405       1.1203      0.13129
1185         1   11856153   11904701    241      16  161405      0.92874      0.17651
4878         1   11904266   11917840     47      10  161405      0.12506      0.45024
4879         1   11916021   11928992     44       8  161405    -0.095533      0.53805
90231        1   11978145   11996485     48      11  161405      0.62743      0.26519
5351         1   11984724   12037099    127      14  161405      0.55988      0.28778
9927         1   12030238   12075072    100      10  161405      0.59039      0.27747
60672        1   12069299   12093606     50      10  161405     0.025171      0.48996
943          1   12113434   12205764    230      44  161405       2.2812     0.011268
7133         1   12217044   12270779    159      20  161405     -0.65047       0.7423
55187        1   12280101   12573599    407      30  161405      0.48819      0.31271
9249         1   12626439   12687820    215      40  161405      0.27002      0.39357
343066       1   12694566   12728597     98      10  161405       1.3193      0.09353
126767       1   12766118   12790226     78      12  161405       2.0598     0.019707
93190        1   12796163   12822602     90      11  161405       1.8365     0.033139
390999       1   12824984   12839549     42       9  161405       1.2413      0.10724
65121        1   12841546   12858277     26       6  161405     -0.34584      0.63527
440560       1   12882968   12901264     46       7  161405       2.0881     0.018396
343069       1   12905761   12918578     76       4  161405       2.2422     0.012475
65122        1   12906941   12923264     92       6  161405       2.2165     0.013329
400735       1   12937533   12956025      2       1  161405     0.096202      0.46168
343071       1   12951227   12968094      1       1  161405      0.77998       0.2177
440561       1   12996802   13017406      1       1  161405      0.33371       0.3693
441873       1   13130447   13146500      2       1  161405      0.91267      0.18071
440563       1   13181460   13194326     37       7  161405       1.7073     0.043884
391002       1   13385146   13400765      4       2  161405       2.2015     0.013851
391003       1   13472553   13487569      2       1  161405       1.1673      0.12153
654348       1   13485254   13499760      1       1  161405      0.63566       0.2625
645414       1   13693389   13708405      1       1  161405      0.54145       0.2941
645425       1   13726907   13749303      2       1  161405       2.0666     0.019386
126755       1   13799945   13850242    215      45  161405       1.5092     0.065629
10630        1   13900252   13945952    142      26  161405       1.9525     0.025437
7799         1   14016714   14153074    397      29  161405       1.4292     0.076477
23254        1   14209646   15446044   4462     328  161405       3.1302   0.00087344
55092        1   15469028   15548474    400      29  161405      -1.3223      0.90697
727684       1   15489192   15508120     82      13  161405     -0.34252      0.63402
114827       1   15563730   15726267    493      63  161405       1.2962     0.097454
79180        1   15726391   15758339     95      22  161405       1.3719     0.085045
11330        1   15754938   15774653     41      10  161405       0.0853      0.46601
63036        1   15773223   15800086     80      13  161405     -0.68086      0.75202
51032        1   15792596   15819395     74      12  161405      0.35518      0.36123
842          1   15816396   15861407    148       8  161405     -0.23077      0.59125
23341        1   15843343   15899728    143      11  161405     -0.29976      0.61782
79814        1   15896694   15921605    111       9  161405     -0.04517      0.51801
84301        1   15933953   15997039    129       6  161405      0.53265      0.29714
6248         1   15976364   15989717     21       3  161405      0.63806      0.26172
23207        1   16000632   16062764    171      13  161405      0.55855      0.28823
284723       1   16052721   16069384     24       4  161405        1.341     0.089961
388595       1   16058987   16075792     30       7  161405       1.0026      0.15804
54751        1   16073107   16114589     90      15  161405     -0.76354      0.77743
440567       1   16132157   16144194     51       5  161405      -1.6844      0.95395
23013        1   16164359   16268451    163      19  161405     0.049245      0.48036
7709         1   16266864   16312627     77      13  161405      0.16624      0.43399
101928566    1   16292626   16325201    101      14  161405      0.34694      0.36432
149563       1   16320731   16334684     86      11  161405     -0.30242      0.61884
1187         1   16338486   16362048    129      13  161405     -0.53203      0.70265
27129        1   16339023   16356084     97      11  161405     -0.44015      0.67009
1188         1   16360231   16385321    152      18  161405     0.025484      0.48983
348487       1   16382764   16410127     79      10  161405     0.035753      0.48574
1969         1   16449332   16492582     78      14  161405      0.64607      0.25912
128272       1   16523099   16549104     67       8  161405      0.50994      0.30505
101927546    1   16549843   16563528     33       4  161405      0.99218      0.16055
79363        1   16556682   16573659     32       7  161405       1.4427     0.074558
54455        1   16571839   16688965    253      11  161405        1.483     0.069031
26099        1   16683525   16726143     85      11  161405      0.67556      0.24966
374955       1   16720601   16773919    139      23  161405      0.38329      0.35075
55707        1   16757167   16788085     70      14  161405       1.4199     0.077815
100133301    1   16855561   16867698      6       3  161405    -0.090796      0.53617
55672        1   16887422   16950100      7       4  161405     -0.88404      0.81166
11223        1   17079629   17100975      1       1  161405      -1.0211       0.8464
9696         1   17238445   17300974    117      17  161405       1.1301      0.12922
4237         1   17299497   17318081     43       7  161405       2.2879     0.011073
23400        1   17310953   17348467     80      13  161405       1.8018     0.035789
6390         1   17343717   17390665    159      16  161405       2.3326    0.0098354
11240        1   17391756   17455948    264      16  161405       1.6018     0.054597
29943        1   17521621   17574001    216      50  161405       1.5416     0.061591
51702        1   17565593   17612228    203      27  161405      0.27862      0.39027
23569        1   17624690   17691995    342      24  161405     -0.29688      0.61672
353238       1   17688741   17729695    209      19  161405      0.67214      0.25075
55920        1   17731751   17776250    100      12  161405      0.84709      0.19847
55160        1   17836693   18025870    451      54  161405      0.99512      0.15984
81569        1   18071808   18155058    219      24  161405      0.18606       0.4262
84966        1   18424240   18706477   1020     123  161405       1.4318     0.076099
127707       1   18797424   18814040     91      12  161405       1.2758      0.10101
5081         1   18947500   19076860    368      59  161405       1.1253      0.13022
80834        1   19164593   19196155    172      26  161405      -1.5933      0.94445
8659         1   19196424   19239293    171      21  161405     -0.99665      0.84053
126917       1   19229274   19292826    218      31  161405      0.86839      0.19259
23352        1   19399500   19546812    264      17  161405     0.026382      0.48948
23065        1   19540658   19588053    164      19  161405     -0.68352      0.75286
51154        1   19568075   19588122     96      14  161405      -1.2715      0.89823
22977        1   19607557   19625280     52       8  161405      0.99463      0.15996
8574         1   19627702   19648640     75      15  161405       1.1525      0.12456
54896        1   19628740   19660425    127      19  161405       1.0239      0.15294
832          1   19663767   19822066    533      25  161405       1.3012     0.096599
440574       1   19913471   19957815     98      14  161405      0.69816      0.24254
100532736    1   19913471   19986449    193      29  161405      0.95916      0.16874
4681         1   19959723   19986449     88      21  161405       1.0433      0.14841
3362         1   19981780   20007555     67      10  161405       1.2592      0.10398
255104       1   20007206   20136424    428      52  161405     -0.63432      0.73706
54546        1   20139022   20151771     75      19  161405     -0.50531      0.69333
23252        1   20198356   20240938    100      16  161405     -0.15425      0.56129
30814        1   20245300   20260110     51      10  161405      0.13537      0.44616
5320         1   20300424   20316932     44      12  161405     0.040162      0.48398
5322         1   20376157   20419894    146      20  161405      0.17809      0.42932
26279        1   20437643   20456059     49      13  161405      -1.2233       0.8894
64600        1   20455823   20478379     50      22  161405       1.1226       0.1308
391013       1   20488984   20511687     53      12  161405       0.8062      0.21006
127733       1   20502578   20524040     28       9  161405     0.060748      0.47578
127731       1   20607412   20683162    273      25  161405       2.1769     0.014746
55450        1   20807384   20822728     27       6  161405        1.815     0.034762
79594        1   20824441   20844674     47      11  161405       1.9188     0.027503
163933       1   20868932   20883013     50       8  161405       3.4613   0.00026877
978          1   20905444   20946901    168      21  161405      0.17749      0.42956
65018        1   20949948   20979504    110      12  161405      0.51433      0.30351
1650         1   20976760   20998037     63       9  161405     -0.59833      0.72519
57576        1   20988975   21054317    228      45  161405       1.9525      0.02544
400745       1   21044725   21069133     64      13  161405       2.7757    0.0027543
50809        1   21067670   21123808    111      15  161405       2.8614    0.0021087
8672         1   21131285   21513381    677      23  161405       2.6068    0.0045693
1889         1   21542240   21682034    369      37  161405       2.3263     0.010002
84224        1   21756583   21812893    156      14  161405     -0.23199      0.59173
249          1   21825475   21906405    320      30  161405      -1.6365      0.94913
5909         1   21921208   22006010    305      44  161405      0.89108      0.18644
84196        1   22003291   22119688    354      28  161405       2.8303    0.0023254
401944       1   22128758   22153214     86      27  161405       1.1691      0.12119
3339         1   22147237   22273750    384      36  161405      0.53042      0.29791
23436        1   22293418   22317347    110      16  161405      0.13067      0.44802
10136        1   22318149   22340535     71      12  161405     -0.72908      0.76702
998          1   22369120   22420939    121      16  161405       2.2658     0.011733
54361        1   22442298   22480474    124      22  161405       2.6102    0.0045244
9923         1   22768344   22859150    145      17  161405     -0.42842      0.66583
2046         1   22880004   22931587    179      30  161405    -0.048451      0.51932
712          1   22953118   22967675     43       5  161405      0.41976      0.33733
714          1   22959969   22976103     59       8  161405    -0.023413      0.50934
713          1   22969682   22989630     68       9  161405       0.1096      0.45636
2048         1   23027263   23243323    454      56  161405       2.2909     0.010984
646262       1   23278036   23309524     83      13  161405      0.12388      0.45071
729059       1   23335827   23352343     19       5  161405      0.66875      0.25183
23028        1   23335937   23411684     94      10  161405       1.0867      0.13858
7798         1   23409016   23514301    209      20  161405      0.64981      0.25791
3352         1   23516888   23531222     35       4  161405      0.17784      0.42942
10236        1   23634453   23681143     43       7  161405       2.4937    0.0063216
80818        1   23684441   23706357     53       8  161405       2.1635     0.015252
6920         1   23706055   23761269    139      20  161405     -0.36501      0.64245
55616        1   23753556   23820750    153      14  161405      -0.3003      0.61803
1870         1   23831420   23867712     65      10  161405      0.50567      0.30654
3399         1   23882921   23896285     33      10  161405     -0.30148      0.61847
6135         1   24008269   24024415     21       6  161405      0.29666      0.38336
6924         1   24059856   24090049     28       8  161405      0.28479       0.3879
57095        1   24094876   24116222     14       6  161405      0.82753      0.20397
11313        1   24107275   24123529      8       4  161405       1.1558      0.12389
2582         1   24120589   24137294     15       3  161405      0.25274      0.40023
3155         1   24126867   24175110     61       5  161405     -0.12746      0.55071
2517         1   24170067   24204859     99       6  161405     0.081087      0.46769
1269         1   24195505   24295549    200      15  161405      0.40559      0.34252
55629        1   24276301   24291452      6       2  161405      -2.0996      0.98212
10772        1   24291435   24316953      6       3  161405      -2.0331      0.97898
127294       1   24381031   24448665    222      26  161405      0.26031      0.39731
58985        1   24444761   24479783    111      18  161405    -0.058095      0.52316
163702       1   24479147   24523765    142      21  161405      0.85691      0.19575
57822        1   24635812   24692472    132      29  161405      0.39581      0.34612
90529        1   24681989   24751587    178      16  161405       1.4733     0.070334
57185        1   24732245   24800973    193      17  161405       1.7477     0.040259
11123        1   24818841   24865010    119      16  161405      0.91329      0.18055
400746       1   24872567   24937319    266      28  161405       1.4864     0.068592
10250        1   24959594   25001272     42       8  161405       2.2753     0.011444
25932        1   25061760   25172315    114      13  161405      0.42148       0.3367
864          1   25224502   25301648    184      27  161405     -0.21347      0.58452
25949        1   25547267   25569013     17      11  161405       1.4835     0.068976
57035        1   25567240   25584010     14       7  161405       1.3512     0.088308
6007         1   25588884   25658436     32       9  161405        1.427     0.076785
23585        1   25654789   25690352     31       7  161405      0.56077      0.28748
6006         1   25686353   25757363     83       6  161405   -0.0062708       0.5025
55219        1   25747388   25828200    124       5  161405     -0.21803       0.5863
26119        1   25860071   25896877     94      14  161405     -0.51333      0.69614
57134        1   25933959   26112758    280      24  161405      0.34312      0.36575
57190        1   26116667   26146213     76       7  161405      -0.4865       0.6867
56181        1   26136397   26160933     53       4  161405     -0.27106      0.60683
79000        1   26156914   26195939     71       4  161405     -0.19077      0.57565
164091       1   26186475   26212461     29       4  161405       1.4903     0.068078
3925         1   26209170   26243368     44       5  161405       1.6875     0.045753
5051         1   26284758   26336366    108       8  161405      0.56122      0.28732
2134         1   26338266   26364455     43       8  161405      0.51974      0.30162
7780         1   26363013   26383439     44       5  161405    -0.087513      0.53487
84676        1   26376292   26404142     69       7  161405     -0.29185       0.6148
149420       1   26427656   26453539     68       3  161405     -0.24738      0.59769
79927        1   26475511   26490619     41      11  161405      0.44923      0.32663
51042        1   26486388   26498864     39       8  161405      0.38898      0.34865
10256        1   26493981   26517875     58       8  161405       1.0972      0.13627
378807       1   26507119   26530533     76      13  161405      0.85083      0.19743
64793        1   26550644   26607029    172      14  161405       1.9213     0.027348
83442        1   26596213   26609513     44       6  161405       2.0326     0.021048
91544        1   26607273   26654756    153      12  161405       1.6736     0.047102
1043         1   26634411   26648514     50       6  161405       1.8686     0.030836
55057        1   26646850   26690621    149      19  161405      0.59292      0.27662
257101       1   26686625   26711023     89      15  161405       1.1388      0.12739
79727        1   26727269   26757719     59      10  161405      0.34509      0.36501
79947        1   26748773   26799297     78      14  161405      0.49002      0.31206
3151         1   26788902   26804633     26       7  161405     -0.50477      0.69314
6195         1   26846249   26903020    117      15  161405     0.066636      0.47344
8289         1   27012522   27110101    134       9  161405       1.9673     0.024572
101928728    1   27017123   27032896     22       5  161405       2.2692     0.011628
55650        1   27103739   27126394     22       5  161405       1.7979     0.036099
84243        1   27143201   27185592     55       7  161405       1.6698     0.047479
2810         1   27179633   27192447     15       4  161405       2.2721     0.011541
54707        1   27204372   27226869     30       7  161405       1.8646     0.031121
63906        1   27215479   27236962     26       6  161405       2.0283     0.021264
8431         1   27236475   27250567     27       5  161405       2.0751     0.018987
10726        1   27238187   27274862     52       8  161405       2.0462     0.020368
126695       1   27274547   27296901     24       4  161405       2.1853     0.014433
388610       1   27310189   27328877     21       4  161405      0.95078      0.17086
115572       1   27330011   27349333     12       4  161405     -0.30816      0.62102
6548         1   27423800   27491621     69       7  161405       3.3108   0.00046518
23038        1   27551007   27636624    114      13  161405       1.3616     0.086667
84065        1   27638636   27664391     45      10  161405      0.80619      0.21007
84958        1   27658483   27681923     57      12  161405      0.62937      0.26455
9064         1   27680170   27703558     46      14  161405       2.1592     0.015418
8547         1   27694101   27711315     21       7  161405       2.0703     0.019212
388611       1   27704096   27719823     18       1  161405       1.0228      0.15321
2827         1   27709148   27723818     16       2  161405       1.0916       0.1375
10163        1   27729234   27826678    135       9  161405       1.0258       0.1525
27245        1   27859256   27940463     76      12  161405       2.5471    0.0054318
2268         1   27937300   27971727     61      12  161405       2.8582    0.0021303
2537         1   27991072   28008724     28       6  161405      0.77986      0.21774
199870       1   28042490   28090926     85       4  161405       1.3848     0.083056
23673        1   28089694   28152463     61       6  161405       0.9843      0.16248
5511         1   28147252   28179683     32       4  161405      0.37524      0.35374
9473         1   28189055   28214696     67      11  161405      -0.3134      0.62301
6118         1   28216535   28251255     87       8  161405     -0.17697      0.57023
27293        1   28251456   28287163    116      11  161405      0.72687      0.23365
55113        1   28276504   28296104     44      12  161405      0.45697      0.32385
2140         1   28295355   28425173    235      23  161405     -0.63904       0.7386
5724         1   28472177   28530447     71      13  161405       2.2385     0.012595
22826        1   28525289   28569542    123      10  161405       1.5463     0.061021
93974        1   28552602   28566116     42       7  161405       1.4566     0.072611
83667        1   28575963   28610502     80      10  161405       1.3251     0.092564
54797        1   28645513   28663978     24       8  161405       2.5585    0.0052558
65979        1   28686093   28828381    408      10  161405       2.6246    0.0043379
1104         1   28822455   28867208     97       9  161405       2.0414     0.020608
54952        1   28869529   28906557     56       8  161405       3.3255   0.00044128
115273       1   28908712   28922598     21       9  161405       3.2442   0.00058892
6883         1   28928108   28985416     62       9  161405       3.9093   4.6275e-05
10691        1   28985234   29043615     78       8  161405       3.1123    0.0009283
51441        1   29053133   29097787     65       9  161405        1.858     0.031582
4985         1   29128654   29191708    176      22  161405       4.4078   5.2223e-06
2035         1   29203603   29448058    415      26  161405       3.9411   4.0551e-05
399474       1   29444437   29460421     37       8  161405       3.4285   0.00030341
6429         1   29472750   29518637     95      16  161405       2.6392    0.0041552
51102        1   29517885   29567460    125      17  161405       2.4934    0.0063256
10076        1   29553028   29654825    252      29  161405       2.1023     0.017763
4146         1   31182624   31206432     71      10  161405       1.9906     0.023261
7805         1   31203815   31240683     88      21  161405       1.8971     0.028906
9672         1   31340813   31391480    104      28  161405       2.0757     0.018963
9698         1   31402853   31548838    273      16  161405       1.0913      0.13758
79570        1   31651092   31722734    239      18  161405       1.6008     0.054715
9410         1   31730915   31779644    131      10  161405       2.4082    0.0080153
51538        1   31759832   31840069    201      12  161405       2.4545    0.0070534
2170         1   31836600   31855923     41       8  161405       2.0766     0.018917
347735       1   31872412   31909027    109      11  161405       1.6363     0.050891
64129        1   32032086   32054790     39      14  161405       2.1359     0.016345
3061         1   32073290   32094714     49       5  161405       1.0612      0.14429
553115       1   32093963   32120838     38       6  161405       1.7493     0.040122
1307         1   32116348   32179768    124      22  161405       1.4068     0.079743
576          1   32191218   32240494     46      10  161405       1.0784      0.14044
90853        1   32254523   32291630     74      14  161405      -1.0843      0.86087
8073         1   32370522   32413988     57      10  161405       1.4509     0.073401
10657        1   32469295   32527960     36      12  161405      0.91166      0.18097
55116        1   32528503   32569967     48       8  161405      0.21159      0.41621
23633        1   32563644   32643669     86      10  161405      0.88655      0.18766
200081       1   32635293   32665386     35       7  161405      0.43502      0.33178
79140        1   32656202   32672491     19       5  161405      0.53941       0.2948
55721        1   32661236   32675788     15       3  161405      0.83927      0.20066
149069       1   32664695   32683297     27       6  161405        1.096      0.13654
8668         1   32677971   32698705     28       5  161405       1.0356       0.1502
56063        1   32678540   32697954     27       5  161405       1.0436      0.14833
84734        1   32702818   32715961     30       4  161405       1.4344     0.075733
3932         1   32706840   32753266     49      14  161405      0.98486      0.16235
3065         1   32747708   32800727     33      17  161405      0.63947      0.26126
65108        1   32797930   32811840      5       3  161405     -0.94852      0.82857
81629        1   32808365   32831598     12       8  161405       1.4721     0.070493
100128071    1   32825371   32837844      7       4  161405        1.477     0.069844
55108        1   32829204   32870062     25      14  161405      0.89806      0.18458
728116       1   32920658   32954960     34       5  161405     0.086604      0.46549
653121       1   32994772   33073042    171       9  161405      0.28226      0.38887
339487       1   33084921   33126565    101       6  161405      0.36239      0.35853
5928         1   33106749   33153312    102       5  161405      0.40731      0.34189
81493        1   33144007   33178361     67       6  161405       0.2858      0.38752
57648        1   33197492   33242071     73      17  161405      0.13606      0.44589
8565         1   33239340   33293633     76       9  161405     0.039704      0.48416
64766        1   33272368   33325980     69       9  161405      0.47186      0.31851
252995       1   33326369   33348093     25       7  161405      0.72062      0.23557
3208         1   33341688   33361747     26       9  161405      0.74589      0.22787
113452       1   33358696   33377041     16       6  161405       1.2217      0.11092
127544       1   33400550   33440467     66       8  161405      0.17438      0.43078
204          1   33472041   33512512     60       7  161405       1.3524     0.088118
113451       1   33536711   33587632     63       9  161405       2.1759     0.014782
55223        1   33609500   33657671     91       6  161405       2.2793     0.011325
149076       1   33711908   33767821     92      13  161405        1.707     0.043911
127550       1   33770867   33796699     62      12  161405    -0.041034      0.51637
1912         1   33787724   33851194    168      19  161405     -0.27491      0.60831
7579         1   33928232   33963605     70       9  161405       2.2528     0.012136
114784       1   33978109   34641443   1730     151  161405    -0.050446      0.52012
127540       1   34316076   34331892     31       6  161405      -0.3577      0.63972
84970        1   34622624   34686232    205      29  161405       2.3613    0.0091063
2709         1   35210648   35225613     50      12  161405        1.082      0.13962
127534       1   35215342   35230825     58      14  161405      0.78735      0.21554
2707         1   35236790   35253467     60      13  161405      -1.5758      0.94247
2701         1   35248559   35262851     48       9  161405     -0.89428      0.81441
113444       1   35314463   35335417     46      14  161405      0.82377      0.20503
58512        1   35329537   35401083    109      31  161405       3.6532   0.00012947
100506144    1   35445627   35460948     18       3  161405       2.4314    0.0075195
9204         1   35450266   35507569     69       5  161405         2.54    0.0055433
