Cer-CycPro	Cer-Endo	Cer-ExN-1	Cer-ExN-2	Cer-ExN-3	Cer-ExN-4	Cer-ExN-5	Cer-InN-1	Cer-InN-2	Cer-InN-3	Cer-InN-4	Cer-InN-5	Cer-InN-6	Cer-InN-7	Cer-InN-8	Cer-IP	Cer-MG	Cer-OPC	Cer-RG-1	Cer-RG-2	Cer-RG-3	FC-CycPro	FC-Endo	FC-ExN-1	FC-ExN-2	FC-ExN-3	FC-ExN-4	FC-ExN-5	FC-InN-1	FC-InN-2	FC-InN-3	FC-InN-4	FC-IP	FC-MG	FC-N-undef	FC-OPC	FC-RG-1	FC-RG-2	GE-CycPro	GE-InN-1	GE-InN-2	GE-InN-3	GE-InN-4	GE-InN-5	GE-InN-6	GE-InN-7	GE-RG-1	GE-RG-2	GE-RG-3	Hipp-CR-1	Hipp-CR-2	Hipp-CycPro	Hipp-Endo	Hipp-ExN-1	Hipp-ExN-2	Hipp-ExN-3	Hipp-ExN-4	Hipp-ExN-5	Hipp-ExN-6	Hipp-InN-1	Hipp-InN-2	Hipp-InN-3	Hipp-InN-4	Hipp-MG	Hipp-OPC	Hipp-RG-1	Hipp-RG-2	Hipp-RG-3	Thal-CycPro	Thal-Endo	Thal-ExN-1	Thal-ExN-2	Thal-ExN-3	Thal-InN-1	Thal-InN-2	Thal-InN-3	Thal-InN-4	Thal-InN-5	Thal-InN-6	Thal-InN-7	Thal-InN-8	Thal-IP	Thal-MG	Thal-OPC	Thal-RG-1	Thal-RG-2	Thal-RG-3	Thal-RG-4	Thal-RG-5	Thal-RG-6	Thal-RG-7
LINC02606	PLOD1	MTHFR	CAMTA1-DT	UQCRHL	LINC02606	AL096840.2	AL034417.3	AL357873.1	Z97987.1	AJAP1	Z98886.1	LINC02780	AL031848.2	SMIM1	AL139424.3	PDPN	CELA2A	PRDM16-DT	AL139246.5	CAMTA1-DT	CENPS	AADACL3	AL137802.2	MMEL1	MMEL1	SLC45A1	IGSF21-AS1	SPATA21	AL109811.2	RNF207	AL109811.1	Z98884.1	C1orf195	CHD5	AL450998.3	AL590438.1	AL590438.1	ANGPTL7	RERE-AS1	AL357140.4	VAMP3	AL139424.2	TMEM201	CHD5	KCNAB2	PRDM16-DT	HSPG2	AL354743.2	AL031293.1	AL021155.5	PDPN	SRARP	AL359881.3	KAZN-AS1	MAD2L2	ERRFI1	AL450998.3	AL034417.4	Z98884.1	RERE	ESPN	CHD5	DHRS3	ARHGEF19	ESPN	KLHL21	CELA2B	AL450998.3	AL357140.4	RNF207	CAMTA1-DT	ICMT	AL034417.4	AL359881.3	ANGPTL7	AJAP1	LRRC38	RERE-AS1	TP73	CASZ1	CASZ1	TNFRSF1B	AL031293.1	C1orf127	KLHL21	NPHP4	ESPN	RERE-AS1	FBXO6	AL450998.3
MTOR-AS1	TMEM51	KAZN	Z97987.1	AL109627.1	CASZ1	AL031283.1	AL031291.1	KAZN-AS1	AL359881.1	AL365255.1	CAMTA1-DT	AL805961.1	TNFRSF25	ICMT	CASZ1	TMEM51	UQCRHL	PRDM16	MMEL1	CENPS	MTOR-AS1	SRARP	BX284668.6	LRRC47	MEGF6	KAZN	AL591896.1	AL137802.2	UBIAD1	AL359881.1	MTOR-AS1	RERE-AS1	EFHD2	ESPN	FAM131C	AL354743.2	AL354743.2	DHRS3	GPR157	AL139424.2	Z98884.1	MASP2	PIK3CD	AL359881.3	CHD5	PRDM16	EPHA8	AL354743.1	FAM131C	AL450998.2	ARHGEF19	IFFO2	AL034417.3	BX284668.5	DRAXIN	AL357140.4	SLC25A34	PIK3CD	AL034417.2	RERE-AS1	AL359881.3	TNFRSF25	TMEM51	BX284668.5	KLHL21	CASZ1	AL450998.3	AKR7A3	AGTRAP	GPR153	Z97987.1	GPR153	AL034417.2	AL034417.3	AL031731.1	AL365255.1	PRDM2	FBXO6	AL365255.1	ANGPTL7	DISP3	DHRS3	CELA2B	ANGPTL7	ENO1	CORT	AL031848.1	AL139424.2	KAZN	UQCRHL
AL031291.1	CELA2A	AL031293.1	RERE-AS1	CPLANE2	TNFRSF8	AL137798.1	AL357873.1	PADI4	AL031291.1	CHD5	AL359881.3	AJAP1	PLEKHG5	ESPN	DISP3	C1orf195	ARHGEF19	AL354743.2	AL831784.1	AL031731.1	AL021155.5	EPHA2	AL049569.1	AL365255.1	GPR153	AL031293.1	NBL1	BX284668.6	FBXO6	AL139424.3	AL357873.1	NMNAT1	AGMAT	AL359881.3	PADI2	AL354743.1	AL354743.1	AL450998.2	PIK3CD	AL031731.1	AL034417.2	EXOSC10	CTNNBIP1	CORT	AL031847.1	AL590438.1	ID3	RNF207	MFAP2	AL137802.2	PAX7	MUL1	AL034417.2	AL049569.1	KIAA2013	FBXO2	FBLIM1	TMEM51-AS1	AL139424.3	AL357140.4	AL359881.1	VAMP3	C1orf195	ALDH4A1	Z98884.1	AGTRAP	SPATA21	HP1BP3	PLOD1	HES2	MTOR-AS1	PHF13	GPR157	AL034417.2	AL357873.1	CHD5	TMEM51-AS1	DRAXIN	RNF207	FBXO2	MAD2L2	PDPN	ARHGEF19	DHRS3	PDPN	AL031731.1	KLHL21	C1orf127	AL031293.1	RCC2
AL096840.2	SRARP	SLC25A34	LINC02606	LINC01783	AL031283.1	BX284668.2	KAZN-AS1	AL137127.1	AL357873.1	RNF207	AL034417.2	HES2	TAS1R1	Z98884.1	MAD2L2	AL031283.1	ALPL	ARHGEF16	AL354743.2	DHRS3	C1orf195	ARHGEF19	AKR7A3	CHD5	ACOT7	TMEM51-AS1	FAM43B	EMC1-AS1	MAD2L2	CASZ1	KAZN-AS1	ANGPTL7	IGSF21-AS1	Z98884.1	AKR7A3	ARHGEF16	RNF207	MFAP2	CTNNBIP1	NPPA	PIK3CD	FBXO6	UBIAD1	CASZ1	CAMTA1-DT	AL354743.2	STPG1	MIR34AHG	IGSF21	ALDH4A1	FAM43B	ECE1	CASZ1	CDC42-AS1	CELA2B	TNFRSF8	ARHGEF19	FHAD1	PGD	UBIAD1	SLC45A1	SLC45A1	FHAD1	ALPL	CORT	DHRS3	TMCO4	TCEA3	TMEM51	TNFRSF25	TNFRSF8	PGD	ANGPTL7	GPR157	KAZN-AS1	RNF207	AL137802.2	SLC25A34	TNFRSF25	AL357873.1	DRAXIN	TMEM51	ALPL	C1orf158	AL031293.1	AGTRAP	MIR34AHG	AL109811.2	AL109627.1	IGSF21-AS1
DHRS3	EPHA2	FBLIM1	CTNNBIP1	AL357509.1	UQCRHL	BX284668.6	FBLIM1	SH2D5	KAZN-AS1	AL359881.1	AL139424.3	AL359881.3	AL359881.3	GPR157	DRAXIN	AGMAT	RAP1GAP	MEGF6	MEGF6	C1orf158	UQCRHL	MFAP2	PINK1-AS	RNF207	ESPN	AL121992.1	RAP1GAP	CAMK2N1	DRAXIN	FBXO2	SLC25A34	DISP3	CAPZB	AL139424.2	ALPL	KLHL21	PER3	RCC2	AL357140.4	FBXO42	DISP3	DRAXIN	AL357873.1	AL139423.1	AL512330.1	AL354743.1	RCAN3	PLOD1	AKR7A2	VWA5B1	HP1BP3	HSPG2	AL357873.1	EPHA8	SLC25A34	AL357873.1	NBPF1	SLC25A34	CASZ1	MAD2L2	GPR157	TMEM201	AL031283.1	C1QA	DHRS3	PDPN	ASAP3	ASAP3	C1orf195	PLEKHG5	AL357873.1	FAM131C	AL357873.1	C1orf127	AL049569.1	AL031848.2	BX284668.6	ARHGEF19	VAMP3	KAZN-AS1	LRRC38	EFHD2	LINC02596	PDPN	UQCRHL	C1orf158	H6PD	AL109811.1	MFAP2	VWA5B1
AL109627.1	ARHGEF19	LINC01783	AL357140.4	IGSF21	AL450998.2	AL357509.1	AL137127.1	CDC42-AS1	AL049569.1	AL357873.1	AL139424.2	AL359881.1	SLC45A1	LINC02606	AL450998.3	PADI2	CNR2	ESPN	SMIM1	FHAD1	MFAP2	PADI6	KDM1A	ACOT7	AL359881.3	IGSF21	WNT4	PINK1-AS	NPPA	DRAXIN	AL137802.2	NPPA	MICOS10	FBXO2	FUCA1	NMNAT1	AL357140.4	CDC42-AS1	MASP2	AL137802.2	AL031731.1	AL021155.5	KAZN-AS1	SRM	AL359881.3	RNF207	TRNP1	PDPN	FAM43B	AL031428.1	TCEA3	ZNF436	KAZN-AS1	STPG1	FBLIM1	KAZN-AS1	SLC66A1	FBLIM1	DISP3	DRAXIN	DISP3	AL139424.3	AGMAT	E2F2	C1orf158	AL031293.1	E2F2	E2F2	SRARP	AL359881.1	KAZN-AS1	AL109627.1	KAZN-AS1	AL357873.1	CDC42-AS1	Z97987.1	RCC2	BX284668.2	SLC45A1	AL031293.1	AL450998.3	PADI2	RAP1GAP	AL031293.1	AL450998.2	FHAD1	SPSB1	FBXO6	IGSF21-AS1	AL031428.1
PAX7	IFFO2	AL137127.1	AL109811.1	IGSF21-AS1	ARHGEF19	CDC42-IT1	ALPL	IFNLR1	LINC01141	KAZN-AS1	DISP3	AL034417.3	AL139424.2	TMEM201	LINC01783	CAPZB	AL591178.1	KLHL21	CAMTA1-DT	AL031283.2	ALDH4A1	IFFO2	AL031428.1	AL034417.2	AL034417.3	AL591896.1	AL445253.1	CDC42-IT1	AL021155.5	AL357873.1	BX284668.2	AL121992.1	NBL1	KAZN-AS1	MTFR1L	AGTRAP	NMNAT1	TCEA3	ANGPTL7	NBPF1	DRAXIN	CELA2B	SLC25A34	DISP3	AL034417.4	CAMTA1-DT	ATP5IF1	KAZN	PINK1-AS	ZNF436-AS1	E2F2	ID3	CELA2B	NIPAL3	AL137802.2	FBLIM1	NBL1	SRARP	DHRS3	AL021155.5	FBXO2	FBXO2	LINC01772	PAFAH2	PDPN	EFHD2	ID3	PNRC2	EPHA2	FBLIM1	AL049569.1	BX284668.2	CDC42-AS1	KAZN-AS1	EPHA8	AL034417.3	AKR7A3	BX284668.5	TMEM201	SLC25A34	ARHGEF19	CAPZB	E2F2	CELA2B	MFAP2	AL031283.2	UBIAD1	AGTRAP	AL031428.1	AL109936.6
AKR7A3	CDA	NIPAL3	ANGPTL7	AL591896.1	CPLANE2	ZNF436-AS1	CDC42-AS1	GRHL3	SH2D5	AKR7A3	LRRC38	SLC45A1	AL096840.2	CORT	BX284668.2	MICOS10	EXTL1	H6PD	Z98884.1	CELA2B	HP1BP3	CDA	NIPAL3	SLC45A1	MTOR-AS1	WNT4	EPHA8	AL031428.1	SPATA21	KAZN-AS1	AL031728.1	UQCRHL	LINC01141	FHAD1	EXTL1	PDPN	C1orf167	E2F2	AL031293.1	BX284668.6	NPPA	ZBTB17	AL137802.2	AL031731.1	AL034417.2	PER3	SDC3	TMEM51-AS1	AL109936.6	RCAN3AS	PNRC2	RUNX3	SPATA21	CRYBG2	BX284668.6	FAM131C	NBPF3	FAM131C	LRRC38	AL450998.3	FBXO44	AL021155.5	PADI2	GPATCH3	AL031293.1	AL450998.2	AL031432.4	CEP85	MFAP2	BX284668.2	TEX46	AL357509.1	EPHA8	ARHGEF19	FUCA1	C1orf127	EPHA8	IGSF21	CASZ1	UQCRHL	MFAP2	MICOS10	MTFR1L	CASP9	EPHB2	CELA2B	PDPN	PDPN	RCAN3AS	ZNF436-AS1
HP1BP3	KIF17	AL606491.1	AL031731.1	TEX46	RCC2	E2F2	CDC42-IT1	STPG1	CDC42-AS1	LACTBL1	AL354712.1	ANGPTL7	TNFRSF8	MASP2	MFAP2	NBL1	AL020997.2	DHRS3	CENPS	DNAJC16	CDC42-AS1	PINK1	RCAN3AS	AL139424.2	DISP3	AL445253.1	EXTL1	RUNX3	AL137802.2	AL109627.1	ZNF436-AS1	BX284668.6	FAM43B	FBLIM1	AL353622.1	AL031293.1	NPPA	PNRC2	CELA2B	IGSF21	AL357873.1	BX284668.6	IGSF21	FBXO2	MASP2	GPR157	HPCA	TMEM51	ZNF436-AS1	RCAN3	PAFAH2	LDLRAP1	AL049569.1	STX12	RCC2	AL049569.1	CDC42-AS1	ARHGEF19	AL031283.1	AL450998.2	MFN2	KAZN	CAPZB	TRNP1	FHAD1	PAX7	RHD	UBXN11	PADI4	ATP13A2	IFNLR1	IGSF21	EPHB2	LINC01772	IFNLR1	AL357873.1	KDM1A	IGSF21-AS1	KAZN	CLCNKA	IGSF21-AS1	TMCO4	PAFAH2	AL121992.1	ASAP3	AL121992.1	TMEM51-AS1	CELA2B	LDLRAP1	TCEA3
ASAP3	ECE1	MAN1C1	TNFRSF8	ASAP3	AL357509.1	SRSF10	EPHA8	AL606491.1	EPHA8	MYOM3	SPATA21	DISP3	AL031283.1	NPPA	IGSF21	TMCO4	AL353622.1	C1orf158	AL031291.1	AL121992.1	AL445253.1	ECE1	RCAN3	CASZ1	FBXO44	EPHA8	PDIK1L	AL031432.4	EMC1-AS1	AKR7A3	TCEA3	MFAP2	C1QA	FAM131C	FAM167B	TMEM51-AS1	VPS13D	SRSF10	ZBTB17	ZNF436	SZRD1	IGSF21	IFFO2	FBXO44	ANGPTL7	SLC25A33	AL662907.3	FHAD1	NIPAL3	MAN1C1	CEP85	SELENON	ALPL	AL136115.2	AL357509.1	KIF17	RCAN3AS	AL357509.1	AL450998.3	ZBTB17	LRRC38	AL357873.1	MICOS10	AL353622.1	AL031283.2	PINK1-AS	AL031280.1	AL513365.2	LINC01141	AL357509.1	RCAN3AS	IFFO2	IFNLR1	AL049569.1	STX12	KAZN-AS1	AL031428.1	AL591896.1	AL450998.3	AL137802.2	AKR7A2	LINC01141	EXTL1	BX284668.6	ELOA	AL591896.1	TMEM51	UQCRHL	MAN1C1	E2F2
