cell_type	P	BF	FDR
FC-IP	0.0719180143658345	1	0.11899162376892618
Cer-ExN-5	0.0746484034164609	1	0.12130365555174896
Cer-InN-3	0.0768828302466298	1	0.12274276407795284
Cer-InN-2	0.0889973130199548	1	0.13963371525544632
Thal-InN-8	0.116837778524337	1	0.177688405983132
Hipp-ExN-1	0.117157190758109	1	0.177688405983132
FC-Endo	0.120833973206693	1	0.18026051740670596
FC-MG	0.149511027844364	1	0.21944360538446972
Thal-OPC	0.15725066718632	1	0.22657826351706994
Cer-InN-1	0.159351745770247	1	0.22657826351706994
Thal-InN-1	0.170052416388258	1	0.23807338294356117
Hipp-ExN-2	0.184982782587361	1	0.25505201841590686
Thal-InN-2	0.191267471353372	1	0.2597811924351769
Thal-RG-5	0.231450275549829	1	0.30973492757403587
Hipp-InN-4	0.252818101104075	1	0.3334267710213163
FC-RG-1	0.264078901735842	1	0.3433025722565946
Cer-OPC	0.284943460749797	1	0.36070575387721493
Hipp-OPC	0.285393563507247	1	0.36070575387721493
GE-CycPro	0.492680286955936	1	0.6141630974382216
Cer-RG-2	0.553399629760216	1	0.6634531965724629
Thal-RG-7	0.553658528951106	1	0.6634531965724629
Thal-RG-2	0.554092779555024	1	0.6634531965724629
Hipp-RG-2	0.569431194451624	1	0.6729641388973739
Hipp-CR-2	0.58979113386937	1	0.6880896561809317
Hipp-ExN-4	0.664087636745506	1	0.7649617081498866
Hipp-RG-3	0.677592392261039	1	0.7707613461969318
FC-RG-2	0.696310091146922	1	0.7822742999304927
Cer-CycPro	0.76349717995039	1	0.8472956509205548
Cer-ExN-4	0.782829969115467	1	0.8582834601145483
Cer-RG-3	0.810397144974084	1	0.8779302403885909
Cer-RG-1	0.910127883058648	1	0.974372204215729
Thal-CycPro	0.926225323036887	1	0.9800756325157759
Thal-RG-3	0.945598505785101	1	0.9829185712923221
Hipp-CycPro	0.950514662348619	1	0.9829185712923221
Thal-ExN-2	0.966459317279525	1	0.983842626770313
Thal-RG-1	0.979376059023591	1	0.983842626770313
Hipp-RG-1	0.983842626770313	1	0.983842626770313
FC-ExN-2	1.06269848332354e-05	9.670556198244214e-4	2.4176390495610534e-4
FC-ExN-4	1.59605592733629e-05	0.001452410893876024	2.9048217877520477e-4
Thal-InN-6	1.68974693454809e-09	1.5376697104387618e-7	1.5376697104387618e-7
FC-ExN-3	2.27370727152038e-06	2.0690736170835458e-4	6.896912056945153e-5
Cer-ExN-2	2.83782807845401e-05	0.0025824235513931494	4.304039252321915e-4
Cer-InN-8	6.75886800660164e-05	0.006150569886007493	8.497100705575722e-4
Hipp-ExN-3	7.46997864226437e-05	0.006797680564460578	8.497100705575722e-4
Hipp-InN-2	9.3101230604251e-05	0.00847221198498684	9.205720934155381e-4
Thal-InN-7	9.37754893103636e-07	8.533569527243088e-5	4.266784763621544e-5
