# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
FC_ExN_3_GO:0007186~G-protein         SET      59     0.057839    0.0032975       0.1417      0.34158 FC_ExN_3_GO:0007186~G-protein
FC_ExN_3_GO:0007399~nervous           SET     227      0.33945     0.037782     0.075734   3.7226e-06 FC_ExN_3_GO:0007399~nervous
FC_ExN_3_GO:0007416~synapse           SET      26    -0.043812   -0.0016596      0.19882       0.5872 FC_ExN_3_GO:0007416~synapse
FC_ExN_3_GO:0007610~behavior          SET      58      0.19074     0.010782      0.14869     0.099784 FC_ExN_3_GO:0007610~behavior
FC_ExN_3_GO:0007613~memory            SET      17      0.22602     0.006925      0.27936      0.20924 FC_ExN_3_GO:0007613~memory
FC_ExN_3_GO:0022008~neurogen...       SET     154      0.42698     0.039224     0.090085   1.0796e-06 FC_ExN_3_GO:0022008~neurogenesis
FC_ExN_3_GO:0030182~neuron            SET     131       0.4512     0.038254     0.096522   1.4848e-06 FC_ExN_3_GO:0030182~neuron
FC_ExN_3_GO:0030516~regulati...       SET      21      0.62094     0.021142      0.25077    0.0066459 FC_ExN_3_GO:0030516~regulation
FC_ExN_3_GO:0031175~neuron            SET     106       0.3724      0.02842      0.10635   0.00023174 FC_ExN_3_GO:0031175~neuron
FC_ExN_3_GO:0034762~regulati...       SET      41      0.29832     0.014185       0.1857     0.054097 FC_ExN_3_GO:0034762~regulation
FC_ExN_3_GO:0042391~regulati...       SET      43      0.44408     0.021624      0.16674    0.0038722 FC_ExN_3_GO:0042391~regulation
FC_ExN_3_GO:0043269~regulati...       SET      49      0.23877     0.012409      0.16933     0.079269 FC_ExN_3_GO:0043269~regulation
FC_ExN_3_GO:0048666~neuron            SET     113      0.36578     0.028817      0.10254   0.00018096 FC_ExN_3_GO:0048666~neuron
FC_ExN_3_GO:0048667~cell              SET      74      0.44353     0.028307      0.12807   0.00026774 FC_ExN_3_GO:0048667~cell
FC_ExN_3_GO:0050803~regulati...       SET      33      0.16333    0.0069692      0.17913      0.18095 FC_ExN_3_GO:0050803~regulation
FC_ExN_3_GO:0050804~modulati...       SET      32      0.42211     0.017736      0.17988    0.0094796 FC_ExN_3_GO:0050804~modulation
FC_ExN_3_GO:0050808~synapse           SET      41      0.23539     0.011193      0.16324     0.074657 FC_ExN_3_GO:0050808~synapse
FC_ExN_3_GO:0061564~axon              SET      71      0.33213     0.020765      0.13162    0.0058162 FC_ExN_3_GO:0061564~axon
FC_ExN_3_GO:0099536~synaptic          SET      71      0.32948     0.020599      0.12394    0.0039288 FC_ExN_3_GO:0099536~synaptic
FC_ExN_4_GO:0001764~neuron            SET      16      0.37277      0.01108      0.30042      0.10735 FC_ExN_4_GO:0001764~neuron
FC_ExN_4_GO:0006836~neurotra...       SET      38      0.56663     0.025941      0.17279   0.00052158 FC_ExN_4_GO:0006836~neurotransmitter
FC_ExN_4_GO:0007156~homophil...       SET      31     0.021911    0.0009062      0.22372      0.46099 FC_ExN_4_GO:0007156~homophilic
FC_ExN_4_GO:0007186~G-protein         SET      81      0.15369      0.01026      0.12385      0.10734 FC_ExN_4_GO:0007186~G-protein
FC_ExN_4_GO:0007399~nervous           SET     239      0.36073     0.041185     0.075746   9.6517e-07 FC_ExN_4_GO:0007399~nervous
FC_ExN_4_GO:0007416~synapse           SET      29       0.2334    0.0093366      0.22619      0.15107 FC_ExN_4_GO:0007416~synapse
FC_ExN_4_GO:0007610~behavior          SET      89      0.34445     0.024099      0.11979    0.0020198 FC_ExN_4_GO:0007610~behavior
FC_ExN_4_GO:0007613~memory            SET      20      0.38607     0.012829      0.24614     0.058394 FC_ExN_4_GO:0007613~memory
FC_ExN_4_GO:0021872~forebrain         SET       9      0.52717     0.011755      0.38076     0.083108 FC_ExN_4_GO:0021872~forebrain
FC_ExN_4_GO:0022008~neurogen...       SET     162      0.40359     0.038018     0.092377   6.2823e-06 FC_ExN_4_GO:0022008~neurogenesis
FC_ExN_4_GO:0030182~neuron            SET     145      0.44519     0.039694     0.097714   2.6264e-06 FC_ExN_4_GO:0030182~neuron
FC_ExN_4_GO:0030516~regulati...       SET      16      0.22498    0.0066873      0.28853      0.21778 FC_ExN_4_GO:0030516~regulation
FC_ExN_4_GO:0031175~neuron            SET     109      0.39444     0.030523      0.11181   0.00021026 FC_ExN_4_GO:0031175~neuron
FC_ExN_4_GO:0034762~regulati...       SET      58      0.57041     0.032244      0.15909   0.00016877 FC_ExN_4_GO:0034762~regulation
FC_ExN_4_GO:0042391~regulati...       SET      60      0.41096     0.023626      0.14397    0.0021577 FC_ExN_4_GO:0042391~regulation
FC_ExN_4_GO:0043269~regulati...       SET      73      0.38335     0.024301      0.13834    0.0027971 FC_ExN_4_GO:0043269~regulation
FC_ExN_4_GO:0048666~neuron            SET     129      0.41471     0.034893      0.10374    3.212e-05 FC_ExN_4_GO:0048666~neuron
FC_ExN_4_GO:0048667~cell              SET      73      0.42023     0.026639      0.14332    0.0016865 FC_ExN_4_GO:0048667~cell
FC_ExN_4_GO:0050803~regulati...       SET      55      0.54493     0.029999      0.15445    0.0002098 FC_ExN_4_GO:0050803~regulation
FC_ExN_4_GO:0050804~modulati...       SET      55      0.47022     0.025886      0.14684    0.0006834 FC_ExN_4_GO:0050804~modulation
FC_ExN_4_GO:0050808~synapse           SET      49      0.58585     0.030447      0.17064   0.00029898 FC_ExN_4_GO:0050808~synapse
FC_ExN_4_GO:0061564~axon              SET      58      0.33941     0.019186      0.15809     0.015906 FC_ExN_4_GO:0061564~axon
FC_ExN_4_GO:0099536~synaptic          SET     104      0.49438     0.037374      0.11016   3.6197e-06 FC_ExN_4_GO:0099536~synaptic
GE_InN_2_GO:0001764~neuron            SET      11      0.60719     0.014967      0.39262        0.061 GE_InN_2_GO:0001764~neuron
GE_InN_2_GO:0007156~homophil...       SET      28      0.34742     0.013657      0.29162      0.11677 GE_InN_2_GO:0007156~homophilic
GE_InN_2_GO:0007399~nervous           SET     172       0.3459     0.033565     0.085839   2.8066e-05 GE_InN_2_GO:0007399~nervous
GE_InN_2_GO:0021872~forebrain         SET       7       1.4112     0.027752       0.4624    0.0011392 GE_InN_2_GO:0021872~forebrain
GE_InN_2_GO:0022008~neurogen...       SET     123      0.38453     0.031597     0.098759   4.9581e-05 GE_InN_2_GO:0022008~neurogenesis
GE_InN_2_GO:0030182~neuron            SET     106      0.46773     0.035696      0.10711   6.3414e-06 GE_InN_2_GO:0030182~neuron
GE_InN_2_GO:0030516~regulati...       SET       9       1.1354     0.025318      0.42687    0.0039119 GE_InN_2_GO:0030516~regulation
GE_InN_2_GO:0031175~neuron            SET      77      0.47839     0.031142      0.12374   5.5515e-05 GE_InN_2_GO:0031175~neuron
GE_InN_2_GO:0048666~neuron            SET      89      0.38053     0.026623      0.11444   0.00044308 GE_InN_2_GO:0048666~neuron
GE_InN_2_GO:0048667~cell              SET      46      0.72203      0.03636      0.16651    7.296e-06 GE_InN_2_GO:0048667~cell
GE_InN_2_GO:0061564~axon              SET      40      0.68531     0.032187       0.1803   7.2339e-05 GE_InN_2_GO:0061564~axon
GE_InN_2_GO:0099536~synaptic          SET      48      0.38345     0.019724      0.15488    0.0066519 GE_InN_2_GO:0099536~synaptic
Hipp_ExN_3_GO:0001764~neuron          SET      17      0.82266     0.025205      0.27343    0.0013142 Hipp_ExN_3_GO:0001764~neuron
Hipp_ExN_3_GO:0007156~homoph...       SET      25      0.20606    0.0076544      0.24565      0.20079 Hipp_ExN_3_GO:0007156~homophilic
Hipp_ExN_3_GO:0007399~nervous         SET     238      0.27361     0.031174     0.071327   6.2765e-05 Hipp_ExN_3_GO:0007399~nervous
Hipp_ExN_3_GO:0007416~synapse         SET      26      0.24078    0.0091209      0.21364      0.12988 Hipp_ExN_3_GO:0007416~synapse
Hipp_ExN_3_GO:0007610~behavi...       SET      50      0.45717        0.024      0.16137    0.0023077 Hipp_ExN_3_GO:0007610~behavior
Hipp_ExN_3_GO:0021872~forebr...       SET      13       0.6017     0.016123      0.28707      0.01805 Hipp_ExN_3_GO:0021872~forebrain
Hipp_ExN_3_GO:0022008~neurog...       SET     164       0.3067     0.029068     0.084851   0.00015087 Hipp_ExN_3_GO:0022008~neurogenesis
Hipp_ExN_3_GO:0030182~neuron          SET     149      0.29302     0.026481     0.089182   0.00050997 Hipp_ExN_3_GO:0030182~neuron
Hipp_ExN_3_GO:0030516~regula...       SET      16      0.56852     0.016899      0.28301     0.022284 Hipp_ExN_3_GO:0030516~regulation
Hipp_ExN_3_GO:0031175~neuron          SET     109      0.35876     0.027762      0.10279   0.00024208 Hipp_ExN_3_GO:0031175~neuron
Hipp_ExN_3_GO:0034762~regula...       SET      31      0.11554    0.0047785      0.22339       0.3025 Hipp_ExN_3_GO:0034762~regulation
Hipp_ExN_3_GO:0042391~regula...       SET      35      0.33064     0.014528      0.17939     0.032662 Hipp_ExN_3_GO:0042391~regulation
Hipp_ExN_3_GO:0048666~neuron          SET     123      0.28197     0.023169      0.09568    0.0016068 Hipp_ExN_3_GO:0048666~neuron
Hipp_ExN_3_GO:0048667~cell            SET      73      0.35805     0.022697      0.12488    0.0020746 Hipp_ExN_3_GO:0048667~cell
Hipp_ExN_3_GO:0050803~regula...       SET      30      0.60687     0.024691      0.19798    0.0010888 Hipp_ExN_3_GO:0050803~regulation
Hipp_ExN_3_GO:0050804~modula...       SET      28      0.48056      0.01889      0.19296    0.0063846 Hipp_ExN_3_GO:0050804~modulation
Hipp_ExN_3_GO:0050808~synapse         SET      39      0.37543     0.017412       0.1676      0.01255 Hipp_ExN_3_GO:0050808~synapse
Hipp_ExN_3_GO:0061564~axon            SET      70      0.29194     0.018124      0.12705     0.010794 Hipp_ExN_3_GO:0061564~axon
Hipp_ExN_3_GO:0099536~synapt...       SET      63       0.3359     0.019786      0.13966    0.0080898 Hipp_ExN_3_GO:0099536~synaptic
Hipp_ExN_5_GO:0001764~neuron          SET      22      0.66442     0.023154      0.25683    0.0048448 Hipp_ExN_5_GO:0001764~neuron
Hipp_ExN_5_GO:0006836~neurot...       SET      21      0.68148     0.023204       0.2095   0.00057229 Hipp_ExN_5_GO:0006836~neurotransmitter
Hipp_ExN_5_GO:0007156~homoph...       SET      26     0.013947   0.00052831      0.23112      0.47594 Hipp_ExN_5_GO:0007156~homophilic
Hipp_ExN_5_GO:0007186~G-prot...       SET      74      0.09045    0.0057727      0.12204      0.22931 Hipp_ExN_5_GO:0007186~G-protein
Hipp_ExN_5_GO:0007399~nervous         SET     234      0.31543     0.035639     0.073605   9.1731e-06 Hipp_ExN_5_GO:0007399~nervous
Hipp_ExN_5_GO:0007416~synapse         SET      27     0.050402    0.0019456      0.20877      0.40461 Hipp_ExN_5_GO:0007416~synapse
Hipp_ExN_5_GO:0007610~behavi...       SET      69      0.30728      0.01894      0.12939    0.0087837 Hipp_ExN_5_GO:0007610~behavior
Hipp_ExN_5_GO:0007613~memory          SET      15       0.8092      0.02329      0.28799    0.0024813 Hipp_ExN_5_GO:0007613~memory
Hipp_ExN_5_GO:0021872~forebr...       SET      10      0.48827     0.011476      0.36097     0.088089 Hipp_ExN_5_GO:0021872~forebrain
Hipp_ExN_5_GO:0022008~neurog...       SET     164      0.37913     0.035931     0.086672   6.1322e-06 Hipp_ExN_5_GO:0022008~neurogenesis
Hipp_ExN_5_GO:0030182~neuron          SET     147      0.36625     0.032878     0.090994   2.8627e-05 Hipp_ExN_5_GO:0030182~neuron
Hipp_ExN_5_GO:0030516~regula...       SET      22      0.50849      0.01772      0.24922     0.020667 Hipp_ExN_5_GO:0030516~regulation
Hipp_ExN_5_GO:0031175~neuron          SET     120      0.38528     0.031273     0.099173   5.1393e-05 Hipp_ExN_5_GO:0031175~neuron
Hipp_ExN_5_GO:0034762~regula...       SET      46      0.53568     0.026976      0.17567    0.0011488 Hipp_ExN_5_GO:0034762~regulation
Hipp_ExN_5_GO:0042391~regula...       SET      47       0.5046     0.025685       0.1546   0.00055047 Hipp_ExN_5_GO:0042391~regulation
Hipp_ExN_5_GO:0043269~regula...       SET      56      0.36756     0.020417      0.15399    0.0085034 Hipp_ExN_5_GO:0043269~regulation
Hipp_ExN_5_GO:0048666~neuron          SET     129      0.36578     0.030775     0.096174   7.1666e-05 Hipp_ExN_5_GO:0048666~neuron
Hipp_ExN_5_GO:0048667~cell            SET      79      0.32078      0.02115       0.1304    0.0069534 Hipp_ExN_5_GO:0048667~cell
Hipp_ExN_5_GO:0050803~regula...       SET      42      0.46459     0.022358      0.16614    0.0025866 Hipp_ExN_5_GO:0050803~regulation
Hipp_ExN_5_GO:0050804~modula...       SET      42      0.50004     0.024064      0.15435   0.00059953 Hipp_ExN_5_GO:0050804~modulation
Hipp_ExN_5_GO:0050808~synapse         SET      45      0.34802     0.017335       0.1602     0.014922 Hipp_ExN_5_GO:0050808~synapse
Hipp_ExN_5_GO:0061564~axon            SET      74      0.28307     0.018066      0.13351     0.017003 Hipp_ExN_5_GO:0061564~axon
Hipp_ExN_5_GO:0099536~synapt...       SET      93      0.36949     0.026422      0.11293   0.00053524 Hipp_ExN_5_GO:0099536~synaptic
