# ALPHA = 0.05
# NUMBER_OF_TESTS = 121

# _SET1_  VARIABLE = FC_ExN_2_GO:0006836~neurotransmitter (set)
# _SET1_  NGENES = 38
# _SET1_  P-VALUE = 5.21852e-05
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   347730        2   80513981   80541718     52      16  161405      0.34715      0.10126   -3.8858e-16      0.34715
_SET2_   54910         2   97523973   97546680     18       6  161405       1.7054    0.0055889   -4.4409e-16       1.7054
_SET2_   8440          2  106351520  106512230    540      26  161405       -0.105      0.11086    -3.747e-16       -0.105
_SET2_   9394          2  129021554  129086171    220      28  161405       -1.401      0.63961   -4.4409e-16       -1.401
_SET2_   9839          2  145140442  145287958    199      39  161405       5.3545   1.1499e-10             0       5.3545
_SET2_   57282         2  162470699  162843286    796      23  161405      0.72362     0.012149   -3.3307e-16      0.72362
_SET2_   23314         2  200132723  200345989    262      19  161405       4.3832   3.2735e-08             0       4.3832
_SET2_   8745          2  207298268  207487354    369      38  161405      0.72213      0.03184   -3.3307e-16      0.72213
_SET2_   8941          2  219814350  219828377     23       4  161405     -0.29646      0.35948   -3.8858e-16     -0.29646
_SET2_   10058         2  220072988  220093712     31       6  161405       2.0449    0.0032982   -4.4409e-16       2.0449
_SET2_   3623          2  220426954  220441935     43      12  161405      -1.2696       0.6375   -4.4409e-16      -1.2696
_SET2_   5270          2  224838265  224914036    224      29  161405      -1.1018      0.52187   -4.4409e-16      -1.1018
_SET2_   57624         2  226254426  226520234    455      38  161405       1.6688    0.0018483   -4.4409e-16       1.6688
_SET2_   10752         3     228279     452600    865      65  161405    -0.065633     0.066073    -3.747e-16    -0.065633
_SET2_   152330        3    2130550    3101145   4048     299  161405       3.0361   2.4556e-09   -4.4409e-16       3.0361
_SET2_   5468          3   12319349   12477355    343      25  161405      0.45284     0.055397   -3.8858e-16      0.45284
_SET2_   1951          3   48672396   48710348     34       4  161405       3.4661   1.5697e-05   -4.4409e-16       3.4661
_SET2_   8927          3   49581922   49710482    169      16  161405       1.5668    0.0052894   -4.4409e-16       1.5668
_SET2_   389119        3   49830687   49843963     18       7  161405       1.9696    0.0021199   -4.4409e-16       1.9696
_SET2_   6405          3   50182562   50228008     79      11  161405       1.0393     0.025449   -4.4409e-16       1.0393
_SET2_   7869          3   50295040   50316073     16       6  161405       3.1321   3.8116e-05   -4.4409e-16       3.1321
_SET2_   27086         3   71002365   71643140   1269     108  161405       5.8469   8.3912e-15             0       5.8469
_SET2_   6092          3   75945845   77700615   4972     220  161405      0.44614    0.0007227   -3.8858e-16      0.44614
_SET2_   2042          3   89146674   89532784    694      28  161405       -0.133     0.089558   -3.8858e-16       -0.133
_SET2_   5361          3  126697437  126757735    194      21  161405        1.613    0.0053449   -4.4409e-16        1.613
_SET2_   5274          3  167443432  167544857    292      19  161405      0.72908     0.035172   -3.3307e-16      0.72908
_SET2_   23043         3  170778792  171188197   1051     112  161405      -1.0081      0.28559   -4.4409e-16      -1.0081
_SET2_   8646          3  184087861  184109117     44      12  161405      -1.8804      0.83583   -4.4409e-16      -1.8804
_SET2_   2257          3  191855533  192455388   1653     135  161405       1.0781   0.00072738   -4.4409e-16       1.0781
_SET2_   1400          4    5820991    5904785    304      42  161405     -0.54824      0.29167   -3.3307e-16     -0.54824
_SET2_   7345          4   41248898   41271946     74      13  161405     -0.82814      0.47167   -3.3307e-16     -0.82814
_SET2_   2560          4   47023295   47434301    924      62  161405       2.0587   0.00010363   -4.4409e-16       2.0587
_SET2_   2044          4   66183781   66546529   1280      59  161405       2.5383   2.5956e-06   -4.4409e-16       2.5383
_SET2_   658           4   95669128   96081101   1239      51  161405        1.106   0.00091236   -4.4409e-16        1.106
_SET2_   8633          4   96082155   96480361   1284     110  161405       0.9745    0.0025124   -3.3307e-16       0.9745
_SET2_   287           4  113729239  114306396   1620     124  161405      0.87476    0.0014108   -3.3307e-16      0.87476
_SET2_   79633         4  126227003  126415587    502      40  161405     -0.49214      0.21157   -3.8858e-16     -0.49214
_SET2_   6715          5    6623500    6671175    175      19  161405       1.9034    0.0018561   -4.4409e-16       1.9034
_SET2_   348980        5   45253552   45706220    490      31  161405       5.9864   2.3495e-13             0       5.9864
_SET2_   4208          5   88012558   88209922    332      26  161405       2.8223   3.8049e-05   -4.4409e-16       2.8223
_SET2_   56147         5  140155876  140393429    439      20  161405       5.1737   7.0296e-11             0       5.1737
_SET2_   56144         5  140176672  140393429    394      20  161405       5.1679   9.7302e-11             0       5.1679
_SET2_   56135         5  140296302  140393429    208      16  161405       4.8495   2.0953e-09             0       4.8495
_SET2_   56132         5  140470234  140484906     39       5  161405       3.3143   2.1442e-05   -4.4409e-16       3.3143
_SET2_   56130         5  140519839  140534368     54       9  161405       1.3947     0.011396   -4.4409e-16       1.3947
_SET2_   56124         5  140577914  140593643     33       7  161405       2.1292    0.0014047   -4.4409e-16       2.1292
_SET2_   56122         5  140593078  140607360     34       9  161405       1.4614     0.009984   -4.4409e-16       1.4614
_SET2_   1809          5  146768871  146899619    147      27  161405     -0.17761      0.20551   -3.8858e-16     -0.17761
_SET2_   57451         5  166396083  167692662   2929     220  161405      0.46606   0.00059591   -3.8858e-16      0.46606
_SET2_   1812          5  174866175  174881163     44      10  161405     -0.83565      0.48249   -3.3307e-16     -0.83565
_SET2_   114787        5  176021303  176054339     49      15  161405      -0.1075      0.20652    -3.747e-16      -0.1075
_SET2_   90249         5  176227560  176309399    149      33  161405      -2.1282      0.90222   -4.4409e-16      -2.1282
_SET2_   9247          6   10871956   10892098     58      13  161405      0.13587      0.14729   -3.8858e-16      0.13587
_SET2_   29116         6   16119277   16149979     58      12  161405      0.46027     0.085907   -3.8858e-16      0.46027
_SET2_   9856          6   24542832   24656383    394      43  161405       2.9344   2.0643e-05   -4.4409e-16       2.9344
_SET2_   57497         6   40357873   40565126    771      48  161405      0.55311     0.018507   -3.3307e-16      0.55311
_SET2_   2173          6  123090646  123106719     38       9  161405      0.51317     0.077982   -3.3307e-16      0.51317
_SET2_   5796          6  128288424  128851870    996      69  161405      0.58962      0.01474   -3.3307e-16      0.58962
_SET2_   6446          6  134488884  134649196    446      66  161405      0.23063     0.086127   -3.8858e-16      0.23063
_SET2_   25902         6  151176815  151424523   1023      78  161405     -0.65271       0.1506   -3.3307e-16     -0.65271
_SET2_   7058          6  169614375  169664137    245      43  161405     -0.63218      0.33977   -3.3307e-16     -0.63218
_SET2_   9734          7   18116572   19040635   2279     151  161405     0.003022    0.0033405     -3.76e-16     0.003022
_SET2_   84668         7   22979378   23063814    233      20  161405     0.045004      0.13589    -3.747e-16     0.045004
_SET2_   4852          7   24313807   24332984     82      13  161405      0.12254      0.14947    -3.747e-16      0.12254
_SET2_   1687          7   24736474   24807639    267      19  161405       4.3128   4.4033e-08             0       4.3128
_SET2_   63974         7   31375575   31390538     20       7  161405       1.1494      0.02111   -4.4409e-16       1.1494
_SET2_   3624          7   41727101   41752706     26       9  161405       2.1223    0.0012604   -4.4409e-16       2.1223
_SET2_   816           7   44255249   44375230    311      29  161405      -1.0337      0.46751   -4.4409e-16      -1.0337
_SET2_   107           7   45604125   45764215    448      49  161405      0.97236     0.015341   -3.3307e-16      0.97236
_SET2_   9863          7   77644874   79093121   5187     252  161405       1.8466   2.0899e-06   -4.4409e-16       1.8466
_SET2_   10512         7   80370354   80561695    422      53  161405     -0.31526      0.20712   -3.8858e-16     -0.31526
_SET2_   27445         7   82381821   82802197   1144      49  161405       2.1794   2.0618e-05   -4.4409e-16       2.1794
_SET2_   8321          7   90883783   90899632     23       6  161405      -1.0164        0.559   -4.4409e-16      -1.0164
_SET2_   222950        7  100071550  100093925     40       7  161405       1.0289      0.03147   -4.4409e-16       1.0289
_SET2_   54674         7  110721062  110767010     76      10  161405      0.77738     0.059197   -3.3307e-16      0.77738
_SET2_   91584         7  131806591  132343447   1511     121  161405     -0.11084     0.030068    -3.747e-16     -0.11084
_SET2_   1129          7  136543399  136705220    444      34  161405      0.71167     0.025545   -3.3307e-16      0.71167
_SET2_   3792          7  142636701  142669503     90      12  161405      0.22112       0.1672   -3.8858e-16      0.22112
_SET2_   55790         8   19260172   19550261   1097      62  161405       1.4673   0.00049256   -4.4409e-16       1.4673
_SET2_   2675          8   21548030   21682392    305      56  161405      -1.3911      0.63039   -4.4409e-16      -1.3911
_SET2_   8822          8   21890264   21907820     53      15  161405      -1.8114      0.80741   -4.4409e-16      -1.8114
_SET2_   4741          8   24760712   24778107     24       9  161405      -1.1458      0.61008   -4.4409e-16      -1.1458
_SET2_   4747          8   24806968   24824383     66       7  161405      -1.4125      0.71275   -4.4409e-16      -1.4125
_SET2_   1808          8   26361709   26517193    605      29  161405       0.2992     0.047322   -3.8858e-16       0.2992
_SET2_   81551         8   27092314   27126382    103      14  161405      0.53645      0.07402   -3.3307e-16      0.53645
_SET2_   2185          8   27158999   27318408    422      24  161405       3.4238   1.6099e-06   -4.4409e-16       3.4238
_SET2_   27319         8   65482795   65497691     21       7  161405       2.9166   9.2381e-05   -4.4409e-16       2.9166
_SET2_   23213         8   70368859   70574647    533      76  161405      -1.2911      0.53144   -4.4409e-16      -1.2911
_SET2_   4609          8  128738315  128755180     40      15  161405      0.60668     0.080656   -3.3307e-16      0.60668
_SET2_   10397         8  134247914  134319835    249      41  161405      -1.9053      0.80545   -4.4409e-16      -1.9053
_SET2_   4062          8  144237831  144252053     33       5  161405       4.1928   2.4568e-07             0       4.1928
_SET2_   340371        8  144914255  144934200     32       9  161405       4.3898   6.6825e-08             0       4.3898
_SET2_   83482         8  145552728  145569943     19       7  161405     -0.35669      0.30129   -3.8858e-16     -0.35669
_SET2_   441381        8  145746261  145762416     20       7  161405       1.2165     0.017278   -4.4409e-16       1.2165
_SET2_   7436          9    2611679    2655985    140      30  161405      0.53545       0.0623   -3.3307e-16      0.53545
_SET2_   5789          9    8312746   10622723   9837     446  161405       1.1413   3.9407e-05   -4.4409e-16       1.1413
_SET2_   6456          9   17568953   17798622   1013      52  161405      -1.4645      0.38367   -4.4409e-16      -1.4645
_SET2_   6096          9   77102252   77305034    437      34  161405       0.5169     0.040059   -3.3307e-16       0.5169
_SET2_   23287         9   88159954   88366944    590      16  161405       1.0884     0.009742   -4.4409e-16       1.0884
_SET2_   7046          9  101857412  101917974    105      11  161405      -1.2192      0.63764   -4.4409e-16      -1.2192
_SET2_   8013          9  102574137  102630673     45       9  161405     0.034642      0.17556    -3.747e-16     0.034642
_SET2_   9355          9  126763889  126797072     87      10  161405     0.071451      0.16248    -3.747e-16     0.071451
_SET2_   6812          9  130364486  130456495     95      15  161405      0.85002     0.041292   -3.3307e-16      0.85002
_SET2_   84628         9  135027334  135119724    217      32  161405     -0.34556      0.23681   -3.8858e-16     -0.34556
_SET2_   1056          9  135926741  135948750     24       7  161405     0.027006      0.19578    -3.747e-16     0.027006
_SET2_   26086         9  139211932  139255557    147      27  161405      -0.6504      0.36315   -3.3307e-16      -0.6504
_SET2_   2902          9  140023609  140064714     71      16  161405      0.89996     0.032654   -3.3307e-16      0.89996
_SET2_   26012         9  140340522  140363808     27      11  161405      -1.5197      0.72639   -4.4409e-16      -1.5197
_SET2_   5209         10    6176843    6279008    453     101  161405       1.3174    0.0094957   -4.4409e-16       1.3174
_SET2_   8516         10   15556211   15772328    567      39  161405      0.15304     0.068262   -3.8858e-16      0.15304
_SET2_   288          10   61784556   62503284   2130      81  161405       2.2049     2.09e-07   -4.4409e-16       2.2049
_SET2_   818          10   75570759   75644349     88      11  161405      -2.7274      0.96641   -4.4409e-16      -2.7274
_SET2_   10718        10   83625070   84748435   3065     163  161405     -0.48055     0.013155   -3.8858e-16     -0.48055
_SET2_   9211         10   95507566   95559416    152      28  161405     -0.94816      0.48429   -3.3307e-16     -0.94816
_SET2_   79955        10  102765940  102800914     86      28  161405       1.3506     0.010222   -4.4409e-16       1.3506
_SET2_   9118         10  105026919  105051608     39       9  161405       4.1027   2.8493e-07             0       4.1027
_SET2_   9148         10  105243735  105353809    283      30  161405       1.7128     0.002472   -4.4409e-16       1.7128
_SET2_   57698        10  118641388  118896097    276      17  161405       1.3254    0.0096375   -4.4409e-16       1.3254
_SET2_   10570        10  133988564  134020780     95      12  161405       1.0506     0.024275   -4.4409e-16       1.0506
_SET2_   85442        10  134963971  135041416    308      26  161405     -0.63557      0.31206   -3.3307e-16     -0.63557
_SET2_   51286        11     785610     800126     26       7  161405     -0.49158      0.35641   -3.8858e-16     -0.49158
_SET2_   9024         11    1401129    1485419    359      33  161405       2.5498   0.00010512   -4.4409e-16       2.5498
_SET2_   430          11    2288228    2302182     60       8  161405      0.17167       0.1541   -3.8858e-16      0.17167
_SET2_   10612        11    6468343    6505689     72      14  161405      -0.5846      0.36774   -3.3307e-16      -0.5846
_SET2_   89797        11   19362271   20144647   2308     219  161405      -1.4062     0.082179   -4.4409e-16      -1.4062
_SET2_   4745         11   20681117   21598732   2935     233  161405      -0.6756     0.017495   -3.3307e-16      -0.6756
_SET2_   57689        11   40134024   41491186   3504     172  161405     -0.37463    0.0095483   -3.8858e-16     -0.37463
_SET2_   349667       11   57217926   57245884     20       7  161405       1.2049     0.019584   -4.4409e-16       1.2049
_SET2_   6809         11   59512479   59574855    179       8  161405      0.29074      0.15492   -3.8858e-16      0.29074
_SET2_   1128         11   62674651   62699012     42       9  161405       1.2715     0.016731   -4.4409e-16       1.2715
_SET2_   9379         11   64372146   64500660    152      13  161405       1.2534     0.014995   -4.4409e-16       1.2534
_SET2_   6712         11   66448467   66506716     46      16  161405       2.2626   0.00074519   -4.4409e-16       2.2626
_SET2_   78999        11   66614558   66629446     15       6  161405       3.0063    6.375e-05   -4.4409e-16       3.0063
_SET2_   9600         11   67257731   67282843     24       9  161405    -0.083348      0.23845    -3.747e-16    -0.083348
_SET2_   22941        11   70312461   70945808   1733     133  161405      0.80954    0.0013733   -3.3307e-16      0.80954
_SET2_   4135         11   75296459   75389479    171      18  161405       1.3842    0.0091301   -4.4409e-16       1.3842
_SET2_   1740         11   83164555   85348314   5726     174  161405     -0.10761    0.0054108    -3.747e-16     -0.10761
_SET2_   4684         11  112821969  113150658    927      58  161405       2.6431   8.5145e-06   -4.4409e-16       2.6431
_SET2_   55800        11  123498395  123535315    167      20  161405     -0.90145      0.46995   -3.3307e-16     -0.90145
_SET2_   84623        11  126291888  126880766   1964     148  161405        1.691   1.6761e-05   -4.4409e-16        1.691
_SET2_   4978         11  132283375  133412403   3605     271  161405       3.7399   3.1711e-11   -4.4409e-16       3.7399
_SET2_   81029        12    1673823    1757879    282      55  161405      -1.1298       0.5416   -4.4409e-16      -1.1298
_SET2_   4908         12    5531280    5605965    203      33  161405      0.36874     0.079773   -3.8858e-16      0.36874
_SET2_   5800         12   15465191   15752765    594      49  161405       1.4965    0.0021909   -4.4409e-16       1.4965
_SET2_   347902       12   47467990   47483734     28       7  161405      0.64031     0.064875   -3.3307e-16      0.64031
_SET2_   23017        12   50259179   50307760    157      32  161405     -0.77046      0.41241   -3.3307e-16     -0.77046
_SET2_   8620         12   53898972   53911422     11       6  161405       1.0062     0.033254   -4.4409e-16       1.0062
_SET2_   4665         12   57472677   57490759     35       9  161405       3.2772   1.6498e-05   -4.4409e-16       3.2772
_SET2_   23426        12   66739678   67473014   2120     139  161405      -2.0306      0.27771   -4.4409e-16      -2.0306
_SET2_   490          12   89980326   90113130    205      23  161405        1.051      0.02131   -4.4409e-16        1.051
_SET2_   1840         12  113484514  113537333    197      35  161405    -0.070365      0.17313    -3.747e-16    -0.070365
_SET2_   84530        12  119409300  119602356    678      48  161405       1.3029    0.0031538   -4.4409e-16       1.3029
_SET2_   92558        12  120417648  120533799    209      17  161405     -0.14995      0.21743   -3.8858e-16     -0.14995
_SET2_   2254         13   22235215   22280140    101      18  161405       0.9533     0.027862   -3.3307e-16       0.9533
_SET2_   51761        13   25936209   26601489   2037     117  161405      -1.3768      0.11321   -4.4409e-16      -1.3768
_SET2_   9201         13   36341289   36715514   1136      99  161405     -0.01579     0.044251    -3.747e-16     -0.01579
_SET2_   7223         13   38209273   38453939    763      53  161405        4.367   1.9207e-09             0        4.367
_SET2_   26050        13   88313931   88333371     32       8  161405      0.59965     0.081718   -3.3307e-16      0.59965
_SET2_   2290         14   29226278   29240983     14       7  161405       1.3753     0.013134   -4.4409e-16       1.3753
_SET2_   51062        14   50989800   51101286    181      17  161405    -0.019005      0.16614    -3.747e-16    -0.019005
_SET2_   51339        14   59090786   59116539     63      13  161405      -1.8551      0.82732   -4.4409e-16      -1.8551
_SET2_   6547         14   70509434   70665787    606      36  161405       1.3052     0.003714   -4.4409e-16       1.3052
_SET2_   23768        14   85986411   86096540    341      37  161405     -0.23095      0.18066   -3.8858e-16     -0.23095
_SET2_   2009         14  100194056  100409897    623      44  161405      0.91216     0.010437   -3.3307e-16      0.91216
_SET2_   3714         14  105605818  105645161     90      10  161405        1.301     0.013717   -4.4409e-16        1.301
_SET2_   79094        15   41235636   41250217     19       5  161405      0.66781     0.065032   -3.3307e-16      0.66781
_SET2_   161497       15   43890185   44012286    104      10  161405       4.4616    5.459e-08             0       4.4616
_SET2_   80031        15   47466403   48067920   1703      60  161405       1.6726   1.6966e-05   -4.4409e-16       1.6726
_SET2_   4756         15   73334056   73599047    567      23  161405      0.87533     0.013022   -3.3307e-16      0.87533
_SET2_   27020        15   73850844   73935753    142      16  161405       0.2442      0.12294   -3.8858e-16       0.2442
_SET2_   57611        15   74410544   74430643     13       6  161405      0.13209      0.17411   -3.8858e-16      0.13209
_SET2_   8482         15   74700130   74736299     96      15  161405      0.27444      0.12407   -3.8858e-16      0.27444
_SET2_   84894        15   77903869   77998490    252      23  161405       3.0467   2.3166e-05   -4.4409e-16       3.0467
_SET2_   6457         15   84106091   84288995    408      55  161405      0.86621     0.022245   -3.3307e-16      0.86621
_SET2_   4916         15   88418448   88810026    844      66  161405       1.9496   0.00024099   -4.4409e-16       1.9496
_SET2_   8128         15   92927140   93013458    244      30  161405     -0.11442      0.16583    -3.747e-16     -0.11442
_SET2_   9143         16    2029946    2045776     67       8  161405      0.44478     0.097269   -3.8858e-16      0.44478
_SET2_   54715        16    5279469    7764842  13691     585  161405       4.1174   1.7202e-12             0       4.1174
