# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
5351         1   11984724   12037099    127      14  161405     -0.37595   -3.8858e-16     -0.37595
9927         1   12030238   12075072    100      10  161405     -0.32603   -3.8858e-16     -0.32603
60672        1   12069299   12093606     50      10  161405     -0.86094   -3.3307e-16     -0.86094
943          1   12113434   12205764    230      44  161405       1.2461   -4.4409e-16       1.2461
7133         1   12217044   12270779    159      20  161405      -1.6128   -4.4409e-16      -1.6128
55187        1   12280101   12573599    407      30  161405     -0.48462   -3.8858e-16     -0.48462
9249         1   12626439   12687820    215      40  161405      -0.7661   -3.3307e-16      -0.7661
343066       1   12694566   12728597     98      10  161405      0.67329   -3.3307e-16      0.67329
126767       1   12766118   12790226     78      12  161405       1.1683   -4.4409e-16       1.1683
93190        1   12796163   12822602     90      11  161405      0.96462   -3.3307e-16      0.96462
390999       1   12824984   12839549     42       9  161405      0.40479   -3.8858e-16      0.40479
65121        1   12841546   12858277     26       6  161405      -1.1975   -4.4409e-16      -1.1975
440560       1   12882968   12901264     46       7  161405       1.2755   -4.4409e-16       1.2755
343069       1   12905761   12918578     76       4  161405       1.6419   -4.4409e-16       1.6419
65122        1   12906941   12923264     92       6  161405       1.5249   -4.4409e-16       1.5249
400735       1   12937533   12956025      2       1  161405     -0.60961   -3.3307e-16     -0.60961
343071       1   12951227   12968094      1       1  161405    -0.046585    -3.747e-16    -0.046585
440561       1   12996802   13017406      1       1  161405      0.13991   -3.8858e-16      0.13991
441873       1   13130447   13146500      2       1  161405      0.77466   -3.3307e-16      0.77466
440563       1   13181460   13194326     37       7  161405      0.84403   -3.3307e-16      0.84403
391002       1   13385146   13400765      4       2  161405       1.4555   -4.4409e-16       1.4555
391003       1   13472553   13487569      2       1  161405        0.419   -3.8858e-16        0.419
654348       1   13485254   13499760      1       1  161405     -0.17751   -3.8858e-16     -0.17751
645414       1   13693389   13708405      1       1  161405     -0.29845   -3.8858e-16     -0.29845
645425       1   13726907   13749303      2       1  161405       1.3487   -4.4409e-16       1.3487
126755       1   13799945   13850242    215      45  161405      0.49557   -3.8858e-16      0.49557
10630        1   13900252   13945952    142      26  161405      0.95033   -3.3307e-16      0.95033
7799         1   14016714   14153074    397      29  161405      0.30579   -3.8858e-16      0.30579
23254        1   14209646   15446044   4462     328  161405      0.30901   -3.8858e-16      0.30901
55092        1   15469028   15548474    400      29  161405       -2.527   -4.4409e-16       -2.527
727684       1   15489192   15508120     82      13  161405      -1.2651   -4.4409e-16      -1.2651
114827       1   15563730   15726267    493      63  161405     0.073652    -3.747e-16     0.073652
79180        1   15726391   15758339     95      22  161405       0.4297   -3.8858e-16       0.4297
11330        1   15754938   15774653     41      10  161405      -0.8144   -3.3307e-16      -0.8144
63036        1   15773223   15800086     80      13  161405      -1.5938   -4.4409e-16      -1.5938
51032        1   15792596   15819395     74      12  161405     -0.54557   -3.3307e-16     -0.54557
842          1   15816396   15861407    148       8  161405      -1.1506   -4.4409e-16      -1.1506
23341        1   15843343   15899728    143      11  161405      -1.2435   -4.4409e-16      -1.2435
79814        1   15896694   15921605    111       9  161405     -0.95365   -3.3307e-16     -0.95365
84301        1   15933953   15997039    129       6  161405     -0.30393   -3.8858e-16     -0.30393
6248         1   15976364   15989717     21       3  161405     -0.11793    -3.747e-16     -0.11793
23207        1   16000632   16062764    171      13  161405      -0.3778   -3.8858e-16      -0.3778
284723       1   16052721   16069384     24       4  161405      0.56205   -3.3307e-16      0.56205
388595       1   16058987   16075792     30       7  161405      0.15224   -3.8858e-16      0.15224
54751        1   16073107   16114589     90      15  161405      -1.7071   -4.4409e-16      -1.7071
440567       1   16132157   16144194     51       5  161405      -2.4588   -4.4409e-16      -2.4588
23013        1   16164359   16268451    163      19  161405     -0.92039   -3.3307e-16     -0.92039
7709         1   16266864   16312627     77      13  161405     -0.74071   -3.3307e-16     -0.74071
101928566    1   16292626   16325201    101      14  161405     -0.55917   -3.3307e-16     -0.55917
149563       1   16320731   16334684     86      11  161405      -1.1611   -4.4409e-16      -1.1611
1187         1   16338486   16362048    129      13  161405      -1.4772   -4.4409e-16      -1.4772
27129        1   16339023   16356084     97      11  161405      -1.3573   -4.4409e-16      -1.3573
1188         1   16360231   16385321    152      18  161405     -0.96509   -3.3307e-16     -0.96509
348487       1   16382764   16410127     79      10  161405     -0.86115   -3.3307e-16     -0.86115
1969         1   16449332   16492582     78      14  161405     -0.26903   -3.8858e-16     -0.26903
128272       1   16523099   16549104     67       8  161405     -0.35579   -3.8858e-16     -0.35579
101927546    1   16549843   16563528     33       4  161405      0.20781   -3.8858e-16      0.20781
79363        1   16556682   16573659     32       7  161405      0.58242   -3.3307e-16      0.58242
54455        1   16571839   16688965    253      11  161405      0.47202   -3.8858e-16      0.47202
26099        1   16683525   16726143     85      11  161405     -0.21024   -3.8858e-16     -0.21024
374955       1   16720601   16773919    139      23  161405     -0.60074   -3.3307e-16     -0.60074
55707        1   16757167   16788085     70      14  161405       0.5046   -3.3307e-16       0.5046
100133301    1   16855561   16867698      6       3  161405     -0.91924   -3.3307e-16     -0.91924
55672        1   16887422   16950100      7       4  161405      -1.7637   -4.4409e-16      -1.7637
11223        1   17079629   17100975      1       1  161405      -1.8408   -4.4409e-16      -1.8408
9696         1   17238445   17300974    117      17  161405      0.24698   -3.8858e-16      0.24698
4237         1   17299497   17318081     43       7  161405       1.4144   -4.4409e-16       1.4144
23400        1   17310953   17348467     80      13  161405      0.87129   -3.3307e-16      0.87129
6390         1   17343717   17390665    159      16  161405       1.3478   -4.4409e-16       1.3478
11240        1   17391756   17455948    264      16  161405       0.5341   -3.3307e-16       0.5341
29943        1   17521621   17574001    216      50  161405      0.53232   -3.3307e-16      0.53232
51702        1   17565593   17612228    203      27  161405     -0.73551   -3.3307e-16     -0.73551
23569        1   17624690   17691995    342      24  161405        -1.45   -4.4409e-16        -1.45
353238       1   17688741   17729695    209      19  161405     -0.35281   -3.8858e-16     -0.35281
55920        1   17731751   17776250    100      12  161405    -0.082592    -3.747e-16    -0.082592
55160        1   17836693   18025870    451      54  161405     -0.17169   -3.8858e-16     -0.17169
81569        1   18071808   18155058    219      24  161405     -0.85335   -3.3307e-16     -0.85335
84966        1   18424240   18706477   1020     123  161405    -0.060116    -3.747e-16    -0.060116
127707       1   18797424   18814040     91      12  161405      0.34625   -3.8858e-16      0.34625
5081         1   18947500   19076860    368      59  161405     0.028971    -3.747e-16     0.028971
80834        1   19164593   19196155    172      26  161405       -2.615   -4.4409e-16       -2.615
8659         1   19196424   19239293    171      21  161405      -1.9719   -4.4409e-16      -1.9719
126917       1   19229274   19292826    218      31  161405     -0.16322   -3.8858e-16     -0.16322
23352        1   19399500   19546812    264      17  161405      -1.0267   -4.4409e-16      -1.0267
23065        1   19540658   19588053    164      19  161405      -1.6336   -4.4409e-16      -1.6336
51154        1   19568075   19588122     96      14  161405      -2.1661   -4.4409e-16      -2.1661
22977        1   19607557   19625280     52       8  161405      0.19653   -3.8858e-16      0.19653
8574         1   19627702   19648640     75      15  161405       0.2039   -3.8858e-16       0.2039
54896        1   19628740   19660425    127      19  161405     0.046133    -3.747e-16     0.046133
832          1   19663767   19822066    533      25  161405    -0.026563    -3.747e-16    -0.026563
440574       1   19913471   19957815     98      14  161405     -0.19644   -3.8858e-16     -0.19644
100532736    1   19913471   19986449    193      29  161405    -0.040917    -3.747e-16    -0.040917
4681         1   19959723   19986449     88      21  161405     0.095021    -3.747e-16     0.095021
3362         1   19981780   20007555     67      10  161405      0.39269   -3.8858e-16      0.39269
255104       1   20007206   20136424    428      52  161405      -1.8074   -4.4409e-16      -1.8074
54546        1   20139022   20151771     75      19  161405      -1.4545   -4.4409e-16      -1.4545
23252        1   20198356   20240938    100      16  161405      -1.0771   -4.4409e-16      -1.0771
30814        1   20245300   20260110     51      10  161405     -0.71527   -3.3307e-16     -0.71527
5320         1   20300424   20316932     44      12  161405     -0.86967   -3.3307e-16     -0.86967
5322         1   20376157   20419894    146      20  161405     -0.79362   -3.3307e-16     -0.79362
26279        1   20437643   20456059     49      13  161405      -2.1301   -4.4409e-16      -2.1301
64600        1   20455823   20478379     50      22  161405       0.2372   -3.8858e-16       0.2372
391013       1   20488984   20511687     53      12  161405    -0.097878    -3.747e-16    -0.097878
127733       1   20502578   20524040     28       9  161405     -0.79598   -3.3307e-16     -0.79598
127731       1   20607412   20683162    273      25  161405        1.108   -4.4409e-16        1.108
55450        1   20807384   20822728     27       6  161405      0.98098   -3.3307e-16      0.98098
79594        1   20824441   20844674     47      11  161405       1.0434   -4.4409e-16       1.0434
163933       1   20868932   20883013     50       8  161405       2.6148   -4.4409e-16       2.6148
978          1   20905444   20946901    168      21  161405     -0.82164   -3.3307e-16     -0.82164
65018        1   20949948   20979504    110      12  161405     -0.41426   -3.8858e-16     -0.41426
1650         1   20976760   20998037     63       9  161405      -1.4902   -4.4409e-16      -1.4902
57576        1   20988975   21054317    228      45  161405      0.92716   -3.3307e-16      0.92716
400745       1   21044725   21069133     64      13  161405       1.8626   -4.4409e-16       1.8626
50809        1   21067670   21123808    111      15  161405       1.9281   -4.4409e-16       1.9281
8672         1   21131285   21513381    677      23  161405        1.149   -4.4409e-16        1.149
1889         1   21542240   21682034    369      37  161405       1.1784   -4.4409e-16       1.1784
84224        1   21756583   21812893    156      14  161405      -1.1859   -4.4409e-16      -1.1859
249          1   21825475   21906405    320      30  161405      -2.7508   -4.4409e-16      -2.7508
5909         1   21921208   22006010    305      44  161405     -0.18386   -3.8858e-16     -0.18386
84196        1   22003291   22119688    354      28  161405       1.7199   -4.4409e-16       1.7199
401944       1   22128758   22153214     86      27  161405      0.23368   -3.8858e-16      0.23368
3339         1   22147237   22273750    384      36  161405     -0.60584   -3.3307e-16     -0.60584
23436        1   22293418   22317347    110      16  161405     -0.74994   -3.3307e-16     -0.74994
10136        1   22318149   22340535     71      12  161405      -1.5816   -4.4409e-16      -1.5816
998          1   22369120   22420939    121      16  161405       1.3848   -4.4409e-16       1.3848
54361        1   22442298   22480474    124      22  161405       1.6687   -4.4409e-16       1.6687
9923         1   22768344   22859150    145      17  161405      -1.4033   -4.4409e-16      -1.4033
2046         1   22880004   22931587    179      30  161405      -1.0338   -4.4409e-16      -1.0338
712          1   22953118   22967675     43       5  161405     -0.40681   -3.8858e-16     -0.40681
714          1   22959969   22976103     59       8  161405     -0.91136   -3.3307e-16     -0.91136
713          1   22969682   22989630     68       9  161405     -0.78566   -3.3307e-16     -0.78566
2048         1   23027263   23243323    454      56  161405        1.081   -4.4409e-16        1.081
646262       1   23278036   23309524     83      13  161405     -0.79525   -3.3307e-16     -0.79525
729059       1   23335827   23352343     19       5  161405      -0.1813   -3.8858e-16      -0.1813
23028        1   23335937   23411684     94      10  161405      0.19155   -3.8858e-16      0.19155
7798         1   23409016   23514301    209      20  161405     -0.36863   -3.8858e-16     -0.36863
3352         1   23516888   23531222     35       4  161405     -0.60788   -3.3307e-16     -0.60788
10236        1   23634453   23681143     43       7  161405       1.6823   -4.4409e-16       1.6823
80818        1   23684441   23706357     53       8  161405       1.3405   -4.4409e-16       1.3405
6920         1   23706055   23761269    139      20  161405      -1.2586   -4.4409e-16      -1.2586
55616        1   23753556   23820750    153      14  161405      -1.1736   -4.4409e-16      -1.1736
1870         1   23831420   23867712     65      10  161405     -0.39483   -3.8858e-16     -0.39483
3399         1   23882921   23896285     33      10  161405      -1.2221   -4.4409e-16      -1.2221
6135         1   24008269   24024415     21       6  161405     -0.55831   -3.3307e-16     -0.55831
6924         1   24059856   24090049     28       8  161405     -0.60374   -3.3307e-16     -0.60374
57095        1   24094876   24116222     14       6  161405    -0.033493    -3.747e-16    -0.033493
11313        1   24107275   24123529      8       4  161405      0.32547   -3.8858e-16      0.32547
2582         1   24120589   24137294     15       3  161405     -0.53959   -3.3307e-16     -0.53959
3155         1   24126867   24175110     61       5  161405     -0.94614   -3.3307e-16     -0.94614
2517         1   24170067   24204859     99       6  161405     -0.76924   -3.3307e-16     -0.76924
1269         1   24195505   24295549    200      15  161405     -0.60149   -3.3307e-16     -0.60149
55629        1   24276301   24291452      6       2  161405      -2.8742   -4.4409e-16      -2.8742
10772        1   24291435   24316953      6       3  161405      -2.7876   -4.4409e-16      -2.7876
127294       1   24381031   24448665    222      26  161405     -0.80187   -3.3307e-16     -0.80187
58985        1   24444761   24479783    111      18  161405      -1.0198   -4.4409e-16      -1.0198
163702       1   24479147   24523765    142      21  161405     -0.12471    -3.747e-16     -0.12471
57822        1   24635812   24692472    132      29  161405     -0.58247   -3.3307e-16     -0.58247
90529        1   24681989   24751587    178      16  161405      0.47674   -3.8858e-16      0.47674
57185        1   24732245   24800973    193      17  161405      0.73267   -3.3307e-16      0.73267
11123        1   24818841   24865010    119      16  161405    -0.036209    -3.747e-16    -0.036209
400746       1   24872567   24937319    266      28  161405      0.39766   -3.8858e-16      0.39766
10250        1   24959594   25001272     42       8  161405       1.4593   -4.4409e-16       1.4593
25932        1   25061760   25172315    114      13  161405     -0.50749   -3.3307e-16     -0.50749
864          1   25224502   25301648    184      27  161405      -1.2492   -4.4409e-16      -1.2492
25949        1   25547267   25569013     17      11  161405      0.76323   -3.3307e-16      0.76323
57035        1   25567240   25584010     14       7  161405      0.49193   -3.8858e-16      0.49193
6007         1   25588884   25658436     32       9  161405      0.55872   -3.3307e-16      0.55872
23585        1   25654789   25690352     31       7  161405     -0.31827   -3.8858e-16     -0.31827
6006         1   25686353   25757363     83       6  161405     -0.85856   -3.3307e-16     -0.85856
55219        1   25747388   25828200    124       5  161405      -1.0626   -4.4409e-16      -1.0626
26119        1   25860071   25896877     94      14  161405       -1.448   -4.4409e-16       -1.448
57134        1   25933959   26112758    280      24  161405     -0.69707   -3.3307e-16     -0.69707
57190        1   26116667   26146213     76       7  161405      -1.3469   -4.4409e-16      -1.3469
56181        1   26136397   26160933     53       4  161405      -1.0347   -4.4409e-16      -1.0347
79000        1   26156914   26195939     71       4  161405     -0.95479   -3.3307e-16     -0.95479
164091       1   26186475   26212461     29       4  161405      0.67729   -3.3307e-16      0.67729
3925         1   26209170   26243368     44       5  161405      0.85432   -3.3307e-16      0.85432
5051         1   26284758   26336366    108       8  161405     -0.31307   -3.8858e-16     -0.31307
2134         1   26338266   26364455     43       8  161405     -0.33424   -3.8858e-16     -0.33424
7780         1   26363013   26383439     44       5  161405     -0.89129   -3.3307e-16     -0.89129
84676        1   26376292   26404142     69       7  161405      -1.1171   -4.4409e-16      -1.1171
149420       1   26427656   26453539     68       3  161405     -0.94095   -3.3307e-16     -0.94095
79927        1   26475511   26490619     41      11  161405     -0.45809   -3.8858e-16     -0.45809
51042        1   26486388   26498864     39       8  161405     -0.50127   -3.3307e-16     -0.50127
10256        1   26493981   26517875     58       8  161405      0.23084   -3.8858e-16      0.23084
378807       1   26507119   26530533     76      13  161405    -0.070748    -3.747e-16    -0.070748
64793        1   26550644   26607029    172      14  161405      0.96528   -3.3307e-16      0.96528
83442        1   26596213   26609513     44       6  161405       1.1992   -4.4409e-16       1.1992
91544        1   26607273   26654756    153      12  161405      0.74382   -3.3307e-16      0.74382
1043         1   26634411   26648514     50       6  161405       1.0479   -4.4409e-16       1.0479
55057        1   26646850   26690621    149      19  161405     -0.39455   -3.8858e-16     -0.39455
257101       1   26686625   26711023     89      15  161405      0.21487   -3.8858e-16      0.21487
79727        1   26727269   26757719     59      10  161405     -0.57331   -3.3307e-16     -0.57331
79947        1   26748773   26799297     78      14  161405      -0.4304   -3.8858e-16      -0.4304
3151         1   26788902   26804633     26       7  161405      -1.3695   -4.4409e-16      -1.3695
